Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,ABRUZZO CLUB,Metro,City of Moreland,Club,Country,Club.1
,,,,,,,,,,,,ACES SPORTING CLUB,Metro,City of Greater Dandenong,Club,Metro,Hotel
,,,,,,,,,,,,ALBION CHARLES HOTEL,Metro,City of Darebin,Hotel,,
,,,,,,,,,,,,ALBION HOTEL,Metro,City of Greater Dandenong,Hotel,,
,,,,,,,,,,,,ALEXANDRA HOUSE SPORTS CLUB,Country,Shire of Southern Grampians,Club,,
,,,,,,,,,,,,ALL SEASONS INTERNATIONAL HOTEL BENDIGO,Country,City of Greater Bendigo,Hotel,,
Electronic Gaming Machine Venue Level Expenditure,,,,,,,,,,,,ALTONA BOWLING CLUB,Metro,City of Hobsons Bay,Club,,
,,,,,,,,,,,,ALTONA RSL,Metro,City of Hobsons Bay,Club,,
NOTE: Yellow highlights below represent filterable fields. Place cursor over field to access options,,,,,,,,,,,,ALTONA SPORTS CLUB,Metro,City of Hobsons Bay,Club,,
,,,,,,,,,,,,AMERICAN HOTEL,Country,Shire of Campaspe,Hotel,,
TABLE A: 3 Year Expenditure Summary by Venue,,,,,,,,,,,,AMSTEL GOLF CLUB,Metro,City of Casey,Club,,
,,,,,,,,,,,,ANGEL TAVERN,Metro,City of Stonnington,Hotel,,
VENUE NAME,EGM Number,EGM EXPENDITURE,,,,,,,,,,ANGLESEA GOLF CLUB,Country,Shire of Surf Coast,Club,,
,,,,,,,,,,,,ARARAT RSL,Country,Rural City of Ararat,Club,,
,2025-06-30 00:00:00,Jul - Dec 24,Jan - Jun 25,TOTAL,,,,,,,,ASHLEY HOTEL,Metro,City of Maribyrnong,Hotel,,
ABRUZZO CLUB,55,1065793.62,1169646.48,2235440.1,,,,,,,,AUSTRAL HOTEL,Country,Shire of Colac-Otway,Hotel,,
,,,,,,,,,,,,AUSTRALIAN CROATIAN NATIONAL HALL,Country,City of Greater Geelong,Club,,
,2024-06-30 00:00:00,Jul - Dec 23,Jan - Jun 24,TOTAL,,,,,,,,BACCHUS MARSH GOLF CLUB,Country,Shire of Moorabool,Club,,
,55,926036.38,964002.4,1890038.78,,,,,,,,BAIRNSDALE BOWLS CLUB,Country,Shire of East Gippsland,Club,,
,,,,,,,,,,,,BAIRNSDALE CLUB,Country,Shire of East Gippsland,Club,,
,2023-06-30 00:00:00,Jul - Dec 22,Jan - Jun 23,TOTAL,,,,,,,,BAIRNSDALE RSL,Country,Shire of East Gippsland,Club,,
,55,1023097.6,976203.39,1999300.99,,,,,,,,BAIRNSDALE SPORTING AND CONVENTION CENTR,Country,Shire of East Gippsland,Club,,
,,,,,,,,,,,,BAKERS ARMS HOTEL,Metro,City of Yarra,Hotel,,
,,,,,,,,,,,,BALACLAVA HOTEL,Metro,City of Port Phillip,Hotel,,
TABLE B: 3 Year Expenditure Summary by Region,,,,,,,,,,,,BALLARAT CLUB HOTEL,Country,City of Ballarat,Hotel,,
,,,,,,,,,,,,BALLARAT & DISTRICT TROTTING CLUB,Country,City of Ballarat,Club,,
REGION,EGM Number,EGM EXPENDITURE,,,,,,,,,,BALLARAT GOLF CLUB,Country,City of Ballarat,Club,,
,,,,,,,,,,,,BALLARAT LEAGUES CLUB,Country,City of Ballarat,Club,,
,2025-06-30 00:00:00,Jul - Dec 24,Jan - Jun 25,TOTAL,,,,,,,,BAXTER TAVERN HOTEL MOTEL,Metro,Shire of Mornington Peninsula,Hotel,,
Country,7753,367784000.39000005,357305624.83000004,725089625.2200001,,,,,,,,BAYSWATER HOTEL,Metro,City of Knox,Hotel,,
,,,,,,,,,,,,BELL PARK SPORT & RECREATION CLUB,Country,City of Greater Geelong,Club,,
,2024-06-30 00:00:00,Jul - Dec 23,Jan - Jun 24,TOTAL,,,,,,,,BELL'S HOTEL,Metro,City of Port Phillip,Hotel,,
,7753,350361635.47999996,342262489.1,692624124.5799997,,,,,,,,BENALLA BOWLS CLUB,Country,Rural City of Benalla,Club,,
,,,,,,,,,,,,BENALLA GOLF CLUB,Country,Rural City of Benalla,Club,,
,2023-06-30 00:00:00,Jul - Dec 22,Jan - Jun 23,TOTAL,,,,,,,,BENDIGO DISTRICT RSL CLUB,Country,City of Greater Bendigo,Club,,
,7736,359736792.41999996,332280883.58999974,692017676.0100003,,,,,,,,BENDIGO STADIUM,Country,City of Greater Bendigo,Club,,
,,,,,,,,,,,,BENTLEIGH RSL,Metro,City of Glen Eira,Club,,
,,,,,,,,,,,,BERWICK INN TAVERNER,Metro,City of Casey,Hotel,,
TABLE C: 3 Year Expenditure Summary by Gaming Venue Type,,,,,,,,,,,,BERWICK SPRINGS HOTEL,Metro,City of Casey,Hotel,,
,,,,,,,,,,,,BIRALLEE TAVERN,Country,Rural City of Wodonga,Hotel,,
VENUE TYPE,EGM Number,EGM EXPENDITURE,,,,,,,,,,BLACKBURN HOTEL,Metro,City of Whitehorse,Hotel,,
,,,,,,,,,,,,BLAZING STUMP HOTEL,Country,Rural City of Wodonga,Hotel,,
,2025-06-30 00:00:00,Jul - Dec 24,Jan - Jun 25,TOTAL,,,,,,,,BLUE BELL HOTEL,Country,City of Ballarat,Hotel,,
Hotel,13676,1038158983.3099996,994215854.4200001,2032374837.7299998,,,,,,,,BORONIA CLUB HOTEL,Metro,City of Knox,Hotel,,
,,,,,,,,,,,,BOUNDARY TAVERNER,Metro,City of Glen Eira,Hotel,,
,2024-06-30 00:00:00,Jul - Dec 23,Jan - Jun 24,TOTAL,,,,,,,,BOURKE HILL'S WELCOME STRANGER,Metro,City of Melbourne,Hotel,,
,13560,1013747674.2999998,962859645.11,1976607319.4099996,,,,,,,,BOX HILL GOLF CLUB,Metro,City of Whitehorse,Club,,
,,,,,,,,,,,,BOX HILL RSL,Metro,City of Whitehorse,Club,,
,2023-06-30 00:00:00,Jul - Dec 22,Jan - Jun 23,TOTAL,,,,,,,,BRAYBROOK HOTEL,Metro,City of Maribyrnong,Hotel,,
,13626,1048978429.7599996,950149704.3800005,1999128134.1399999,,,,,,,,BRIDGE INN HOTEL,Metro,City of Whittlesea,Hotel,,
,,,,,,,,,,,,BRIGHTON BEACH HOTEL,Metro,City of Bayside,Hotel,,
,,,,,,,,,,,,BROADMEADOWS SPORTING CLUB,Metro,City of Hume,Club,,
,,,,,,,,,,,,BROWNS CORNER,Metro,City of Moreland,Hotel,,
,,,,,,,,,,,,BUNDOORA TAVERNER,Metro,City of Whittlesea,Hotel,,
,,,,,,,,,,,,BURVALE HOTEL,Metro,City of Whitehorse,Hotel,,
,,,,,,,,,,,,CARDINIA CLUB,Metro,Shire of Cardinia,Club,,
,,,,,,,,,,,,CARDINIA PARK HOTEL,Metro,Shire of Cardinia,Hotel,,
,,,,,,,,,,,,CASA D'ABRUZZO CLUB,Metro,City of Whittlesea,Club,,
,,,,,,,,,,,,CASTELLO'S CARDINIA HOTEL,Metro,Shire of Cardinia,Hotel,,
,,,,,,,,,,,,CAULFIELD GLASSHOUSE,Metro,City of Glen Eira,Club,,
,,,,,,,,,,,,CAULFIELD RSL,Metro,City of Glen Eira,Club,,
,,,,,,,,,,,,CENTURY CITY WALK,Metro,City of Monash,Hotel,,
,,,,,,,,,,,,CHALAMBAR GOLF CLUB,Country,Rural City of Ararat,Club,,
,,,,,,,,,,,,CHELSEA HEIGHTS HOTEL,Metro,City of Kingston,Hotel,,
,,,,,,,,,,,,CHELTENHAM MOORABBIN RSL,Metro,City of Kingston,Club,,
,,,,,,,,,,,,CHERRY HILL HOTEL,Metro,City of Manningham,Hotel,,
,,,,,,,,,,,,CHIRNSIDE PARK COUNTRY CLUB,Metro,Shire of Yarra Ranges,Club,,
,,,,,,,,,,,,CITY BOWLS CLUB COLAC,Country,Shire of Colac-Otway,Club,,
,,,,,,,,,,,,CITY FAMILY HOTEL,Country,City of Greater Bendigo,Club,,
,,,,,,,,,,,,CITY MEMORIAL BOWLS CLUB,Country,City of Warrnambool,Club,,
,,,,,,,,,,,,CLAYTON BOWLS CLUB,Metro,City of Kingston,Club,,
,,,,,,,,,,,,CLAYTON RSL,Metro,City of Monash,Club,,
,,,,,,,,,,,,CLIFTON SPRINGS GOLF CLUB,Country,City of Greater Geelong,Club,,
,,,,,,,,,,,,CLOCKS AT FLINDERS STREET STATION,Metro,City of Melbourne,Club,,
,,,,,,,,,,,,CLUB HOTEL (FERNTREE GULLY),Metro,City of Knox,Hotel,,
,,,,,,,,,,,,CLUB HOTEL (WARRAGUL),Country,Shire of Baw Baw,Club,,
,,,,,,,,,,,,CLUB ITALIA SPORTING CLUB,Metro,City of Brimbank,Club,,
,,,,,,,,,,,,CLUB KILSYTH,Metro,City of Maroondah,Club,,
,,,,,,,,,,,,CLUB LAVERTON,Metro,City of Hobsons Bay,Club,,
,,,,,,,,,,,,CLUB LEEDS,Metro,City of Maribyrnong,Club,,
,,,,,,,,,,,,CLUB OFFICER,Metro,Shire of Cardinia,Club,,
,,,,,,,,,,,,CLUB RINGWOOD,Metro,City of Maroondah,Club,,
,,,,,,,,,,,,CLUB TARNEIT,Metro,City of Wyndham,Club,,
,,,,,,,,,,,,COBDEN GOLF CLUB,Country,Shire of Corangamite,Club,,
,,,,,,,,,,,,COBRAM HOTEL,Country,Shire of Moira,Hotel,,
,,,,,,,,,,,,COLAC BOWLING CLUB,Country,Shire of Colac-Otway,Club,,
,,,,,,,,,,,,COLAC RSL,Country,Shire of Colac-Otway,Club,,
,,,,,,,,,,,,COMMERCIAL HOTEL (CAMPERDOWN),Country,Shire of Corangamite,Hotel,,
,,,,,,,,,,,,COMMERCIAL HOTEL (SWAN HILL),Country,Rural City of Swan Hill,Hotel,,
,,,,,,,,,,,,COMMERCIAL TAVERNER,Metro,City of Wyndham,Hotel,,
,,,,,,,,,,,,COOLAROO TAVERNER,Metro,City of Hume,Hotel,,
,,,,,,,,,,,,CORRYONG SPORTING COMPLEX,Country,Shire of Towong,Club,,
,,,,,,,,,,,,COURT HOUSE HOTEL (BACCHUS MARSH),Country,Shire of Moorabool,Hotel,,
,,,,,,,,,,,,COURT HOUSE HOTEL (FOOTSCRAY),Metro,City of Maribyrnong,Hotel,,
,,,,,,,,,,,,COURT JESTER HOTEL,Metro,City of Stonnington,Hotel,,
,,,,,,,,,,,,CRAIGIEBURN SPORTING CLUB,Metro,City of Hume,Club,,
,,,,,,,,,,,,CRAIG'S ROYAL HOTEL,Country,City of Ballarat,Hotel,,
,,,,,,,,,,,,CRAMERS HOTEL,Metro,City of Darebin,Hotel,,
,,,,,,,,,,,,CRANBOURNE SILKS,Metro,City of Casey,Club,,
,,,,,,,,,,,,CROSS KEYS HOTEL,Metro,City of Moonee Valley,Hotel,,
,,,,,,,,,,,,CROWN HOTEL,Metro,Shire of Yarra Ranges,Hotel,,
,,,,,,,,,,,,CROXTON PARK HOTEL,Metro,City of Darebin,Hotel,,
,,,,,,,,,,,,CROYDON HOTEL,Metro,City of Maroondah,Hotel,,
,,,,,,,,,,,,CUMBERLAND HOTEL,Country,Shire of Mount Alexander,Hotel,,
,,,,,,,,,,,,DANDENONG CLUB,Metro,City of Greater Dandenong,Club,,
,,,,,,,,,,,,DANDENONG RSL,Metro,City of Greater Dandenong,Club,,
,,,,,,,,,,,,DANDENONG WORKERS SOCIAL CLUB,Metro,City of Greater Dandenong,Club,,
,,,,,,,,,,,,DAREBIN RSL,Metro,City of Darebin,Club,,
,,,,,,,,,,,,DAVA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,,
,,,,,,,,,,,,DAYLESFORD BOWLING CLUB,Country,Shire of Hepburn,Club,,
,,,,,,,,,,,,DEER PARK CLUB,Metro,City of Brimbank,Club,,
,,,,,,,,,,,,DEER PARK HOTEL,Metro,City of Brimbank,Hotel,,
,,,,,,,,,,,,DERRIMUT HOTEL,Metro,City of Brimbank,Hotel,,
,,,,,,,,,,,,DIAMOND CREEK HOTEL,Metro,Shire of Nillumbik,Hotel,,
,,,,,,,,,,,,DICK WHITTINGTON TAVERN,Metro,City of Port Phillip,Hotel,,
,,,,,,,,,,,,DINGLEY INTERNATIONAL HOTEL,Metro,City of Kingston,Hotel,,
,,,,,,,,,,,,DONCASTER HOTEL,Metro,City of Manningham,Hotel,,
,,,,,,,,,,,,DORSET GARDENS HOTEL,Metro,City of Maroondah,Hotel,,
,,,,,,,,,,,,DROMANA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,,
,,,,,,,,,,,,DRUMS HOTEL,Metro,City of Moreland,Hotel,,
,,,,,,,,,,,,DUKE OF EDINBURGH,Metro,City of Moreland,Hotel,,
,,,,,,,,,,,,EASTWOOD GOLF CLUB,Metro,City of Maroondah,Club,,
,,,,,,,,,,,,ECHUCA HOTEL,Country,Shire of Campaspe,Hotel,,
,,,,,,,,,,,,ECHUCA WORKERS AND SERVICES CLUB,Country,Shire of Campaspe,Club,,
,,,,,,,,,,,,EDITHVALE - CHELSEA RSL,Metro,City of Kingston,Club,,
,,,,,,,,,,,,EDWARDES LAKE HOTEL,Metro,City of Darebin,Hotel,,
,,,,,,,,,,,,ELGIN'S,Country,Rural City of Wodonga,Hotel,,
,,,,,,,,,,,,ELSTERNWICK HOTEL,Metro,City of Port Phillip,Hotel,,
,,,,,,,,,,,,ELTHAM HOTEL,Metro,Shire of Nillumbik,Hotel,,
,,,,,,,,,,,,EPPING HOTEL,Metro,City of Whittlesea,Hotel,,
,,,,,,,,,,,,EPPING PLAZA HOTEL,Metro,City of Whittlesea,Hotel,,
,,,,,,,,,,,,EPPING RSL,Metro,City of Whittlesea,Club,,
,,,,,,,,,,,,ESPLANADE HOTEL (INVERLOCH),Country,Shire of Bass Coast,Hotel,,
,,,,,,,,,,,,ESSENDON FOOTBALL & COMMUNITY SPORTING C,Metro,City of Moonee Valley,Club,,
,,,,,,,,,,,,EXCELSIOR HOTEL,Metro,City of Whittlesea,Hotel,,
,,,,,,,,,,,,FAMILY HOTEL,Country,Shire of Baw Baw,Hotel,,
,,,,,,,,,,,,FAWKNER RSL,Metro,City of Moreland,Club,,
,,,,,,,,,,,,FERNTREE GULLY BOWLING CLUB,Metro,City of Knox,Club,,
,,,,,,,,,,,,FERNTREE GULLY HOTEL,Metro,City of Knox,Hotel,,
,,,,,,,,,,,,FIRST & LAST HOTEL,Metro,City of Moreland,Hotel,,
,,,,,,,,,,,,FLYING HORSE BAR AND BREWERY,Country,City of Warrnambool,Hotel,,
,,,,,,,,,,,,FORESTERS ARMS HOTEL,Metro,City of Monash,Hotel,,
,,,,,,,,,,,,FOSTER GOLF CLUB,Country,Shire of South Gippsland,Club,,
,,,,,,,,,,,,FOUNTAIN GATE TAVERNER,Metro,City of Casey,Hotel,,
,,,,,,,,,,,,FRANKSTON RSL,Metro,City of Frankston,Club,,
,,,,,,,,,,,,FRECCIA AZZURRA CLUB,Metro,City of Kingston,Club,,
,,,,,,,,,,,,FURLAN CLUB,Metro,City of Darebin,Club,,
,,,,,,,,,,,,FYANSFORD HOTEL,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,GATEWAY HOTEL,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,GEELONG COMBINED LEAGUES CLUB,Country,City of Greater Geelong,Club,,
,,,,,,,,,,,,GEELONG RSL,Country,City of Greater Geelong,Club,,
,,,,,,,,,,,,GEORGE HOTEL,Country,City of Ballarat,Hotel,,
,,,,,,,,,,,,GLADSTONE PARK HOTEL,Metro,City of Hume,Hotel,,
,,,,,,,,,,,,GLENGALA HOTEL,Metro,City of Brimbank,Hotel,,
,,,,,,,,,,,,GLENROY RSL,Metro,City of Moreland,Club,,
,,,,,,,,,,,,GOLDEN FLEECE HOTEL (MELTON),Metro,Shire of Melton,Hotel,,
,,,,,,,,,,,,GOLDEN NUGGET,Metro,City of Melbourne,Hotel,,
,,,,,,,,,,,,GOLF HOUSE HOTEL,Country,City of Ballarat,Hotel,,
,,,,,,,,,,,,GORDON HOTEL,Country,Shire of Glenelg,Hotel,,
,,,,,,,,,,,,GOULBURN VALLEY HOTEL,Country,City of Greater Shepparton,Hotel,,
,,,,,,,,,,,,GRAND CENTRAL HOTEL (HAMILTON),Country,Shire of Southern Grampians,Hotel,,
,,,,,,,,,,,,GRAND HOTEL (FRANKSTON),Metro,City of Frankston,Hotel,,
,,,,,,,,,,,,GRAND HOTEL (MORNINGTON),Metro,Shire of Mornington Peninsula,Hotel,,
,,,,,,,,,,,,GRAND JUNCTION HOTEL,Country,City of Latrobe,Hotel,,
,,,,,,,,,,,,GRAND ON DEAKIN,Country,Rural City of Mildura,Hotel,,
,,,,,,,,,,,,GRAND TERMINUS HOTEL,Country,Shire of East Gippsland,Hotel,,
,,,,,,,,,,,,GREAT WESTERN HOTEL,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,GREEN GULLY SOCCER CLUB,Metro,City of Brimbank,Club,,
,,,,,,,,,,,,GREENSBOROUGH HOTEL,Metro,City of Banyule,Hotel,,
,,,,,,,,,,,,GREENSBOROUGH RSL,Metro,City of Banyule,Club,,
,,,,,,,,,,,,GREYHOUNDS ENTERTAINMENT,Metro,City of Greater Dandenong,Club,,
,,,,,,,,,,,,GROSVENOR HOTEL,Metro,City of Port Phillip,Hotel,,
,,,,,,,,,,,,GROVEDALE HOTEL,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,HALLAM TAVERNER,Metro,City of Casey,Hotel,,
,,,,,,,,,,,,HAMPTON PARK TAVERN,Metro,City of Casey,Hotel,,
,,,,,,,,,,,,HARP OF ERIN HOTEL,Metro,City of Boroondara,Hotel,,
,,,,,,,,,,,,HEADQUARTERS TAVERN,Metro,City of Melbourne,Club,,
,,,,,,,,,,,,HEALESVILLE RSL,Metro,Shire of Yarra Ranges,Club,,
,,,,,,,,,,,,HIGHETT RETURNED & SERVICES CLUB,Metro,City of Kingston,Club,,
,,,,,,,,,,,,HIGHLANDS HOTEL,Metro,City of Hume,Hotel,,
,,,,,,,,,,,,HIGHPOINT TAVERNER,Metro,City of Maribyrnong,Hotel,,
,,,,,,,,,,,,HIGHWAYS SANDOWN,Metro,City of Greater Dandenong,Club,,
,,,,,,,,,,,,HILL TOP GOLF AND COUNTRY CLUB,Country,City of Greater Shepparton,Club,,
,,,,,,,,,,,,HOGANS HOTEL,Country,Shire of Mitchell,Hotel,,
,,,,,,,,,,,,HOPPERS CROSSING CLUB,Metro,City of Wyndham,Club,,
,,,,,,,,,,,,HOPPERS CROSSING SPORTS CLUB,Metro,City of Wyndham,Club,,
,,,,,,,,,,,,HORSHAM RSL,Country,Rural City of Horsham,Club,,
,,,,,,,,,,,,HORSHAM SPORTS & COMMUNITY CLUB,Country,Rural City of Horsham,Club,,
,,,,,,,,,,,,HOTEL 520 ON SAYERS,Metro,City of Wyndham,Hotel,,
,,,,,,,,,,,,ITALIAN AUSTRALIAN SPORTING AND SOCIAL C,Country,City of Latrobe,Club,,
,,,,,,,,,,,,ITALIAN SPORTS CLUB OF WERRIBEE,Metro,City of Wyndham,Club,,
,,,,,,,,,,,,IVANHOE HOTEL,Metro,City of Banyule,Hotel,,
,,,,,,,,,,,,JOKERS ON RYRIE,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,JUNCTION HOTEL,Metro,City of Darebin,Hotel,,
,,,,,,,,,,,,KANGAROO FLAT SPORTS CLUB,Country,City of Greater Bendigo,Club,,
,,,,,,,,,,,,KARINGAL BOWLING CLUB,Metro,City of Frankston,Club,,
,,,,,,,,,,,,KEALBA HOTEL,Metro,City of Brimbank,Hotel,,
,,,,,,,,,,,,KEILOR EAST RSL,Metro,City of Moonee Valley,Club,,
,,,,,,,,,,,,KEILOR HOTEL,Metro,City of Brimbank,Hotel,,
,,,,,,,,,,,,KERANG SPORTS AND ENTERTAINMENT VENUE,Country,Shire of Gannawarra,Club,,
,,,,,,,,,,,,KEYSBOROUGH HOTEL,Metro,City of Greater Dandenong,Hotel,,
,,,,,,,,,,,,KILMORE TRACKSIDE,Country,Shire of Mitchell,Club,,
,,,,,,,,,,,,KINGS CREEK HOTEL,Metro,Shire of Mornington Peninsula,Hotel,,
,,,,,,,,,,,,KIRKPATRICKS HOTEL,Metro,Shire of Mornington Peninsula,Hotel,,
,,,,,,,,,,,,KNOX CLUB,Metro,City of Knox,Club,,
,,,,,,,,,,,,KNOX TAVERN,Metro,City of Knox,Hotel,,
,,,,,,,,,,,,KOORINGAL GOLF CLUB,Metro,City of Hobsons Bay,Club,,
,,,,,,,,,,,,KORUMBURRA HOTEL,Country,Shire of South Gippsland,Hotel,,
,,,,,,,,,,,,KYABRAM CLUB,Country,Shire of Campaspe,Club,,
,,,,,,,,,,,,KYNETON BOWLING CLUB,Country,Shire of Macedon Ranges,Club,,
,,,,,,,,,,,,KYNETON RSL,Country,Shire of Macedon Ranges,Club,,
,,,,,,,,,,,,LAKES ENTRANCE BOWLS CLUB,Country,Shire of East Gippsland,Club,,
,,,,,,,,,,,,LAKES ENTRANCE RSL,Country,Shire of East Gippsland,Club,,
,,,,,,,,,,,,LAKESIDE CLUB,Country,Shire of Wellington,Club,,
,,,,,,,,,,,,LALOR BOWLING CLUB,Metro,City of Whittlesea,Club,,
,,,,,,,,,,,,LANGWARRIN HOTEL,Metro,City of Frankston,Hotel,,
,,,,,,,,,,,,LARA HOTEL,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,LARA SPORTING CLUB,Country,City of Greater Geelong,Club,,
,,,,,,,,,,,,LEONGATHA RSL,Country,Shire of South Gippsland,Club,,
,,,,,,,,,,,,LEOPOLD SPORTSMANS CLUB,Country,City of Greater Geelong,Club,,
,,,,,,,,,,,,LINCOLNSHIRE ARMS HOTEL,Metro,City of Moonee Valley,Hotel,,
,,,,,,,,,,,,LONG BEACH HOTEL,Metro,City of Kingston,Hotel,,
,,,,,,,,,,,,LORD OF THE ISLES TAVERN,Country,City of Greater Geelong,Hotel,,
,,,,,,,,,,,,LORNE HOTEL,Country,Shire of Surf Coast,Hotel,,
,,,,,,,,,,,,LOWER PLENTY HOTEL,Metro,City of Banyule,Hotel,,
,,,,,,,,,,,,LYNBROOK HOTEL,Metro,City of Casey,Hotel,,
,,,,,,,,,,,,MAC'S HOTEL (MELTON),Metro,Shire of Melton,Hotel,,
,,,,,,,,,,,,MAC'S HOTEL (WARRNAMBOOL),Country,City of Warrnambool,Hotel,,
,,,,,,,,,,,,MAFFRA COMMUNITY SPORTS CLUB,Country,Shire of Wellington,Club,,
,,,,,,,,,,,,MAGPIE AND STUMP HOTEL,Country,Shire of Mitchell,Hotel,,
,,,,,,,,,,,,MAIL EXCHANGE HOTEL,Metro,City of Melbourne,Hotel,,
