Name ,Region ,LGA Name,Venue type ,"Expenditure
1 Jul 23 - 31 Dec 23","Expenditure
1 Jan 24 - 30 Jun 24","Expenditure
01 Jul 23 - 30 Jun 24","Average EGM Numbers  
in June 2024"
ABRUZZO CLUB,Metro,City of Moreland,Club,926036.38,964002.4,1890038.78,55
ACES SPORTING CLUB,Metro,City of Greater Dandenong,Club,1515499,1359580.66,2875079.66,77
ALBION CHARLES HOTEL,Metro,City of Darebin,Hotel,2345271.35,1917758.99,4263030.34,50
ALBION HOTEL,Metro,City of Greater Dandenong,Hotel,1137936.02,1076528.37,2214464.39,24
ALEXANDRA HOUSE SPORTS CLUB,Country,Shire of Southern Grampians,Club,1267263.41,1290778.69,2558042.0999999996,35
ALL SEASONS INTERNATIONAL HOTEL BENDIGO,Country,City of Greater Bendigo,Hotel,7053282.61,6939177.43,13992460.04,100
ALTONA BOWLING CLUB,Metro,City of Hobsons Bay,Club,981141.64,831032.68,1812174.32,37
ALTONA RSL,Metro,City of Hobsons Bay,Club,2194106.82,2112653.66,4306760.48,58
ALTONA SPORTS CLUB,Metro,City of Hobsons Bay,Club,2387313.47,2170157.16,4557470.630000001,83
AMERICAN HOTEL,Country,Shire of Campaspe,Hotel,847276.99,690645.72,1537922.71,42
AMSTEL GOLF CLUB,Metro,City of Casey,Club,4359431.77,4000695.1,8360126.869999999,80
ANGEL TAVERN,Metro,City of Stonnington,Hotel,0,0,0,0
ANGLESEA GOLF CLUB,Country,Shire of Surf Coast,Club,276233.36,291048.92,567282.28,34
ARARAT RSL,Country,Rural City of Ararat,Club,2476460.4,2465866.19,4942326.59,55
ASHLEY HOTEL,Metro,City of Maribyrnong,Hotel,4847883.41,4695485.1,9543368.51,50
AUSTRAL HOTEL,Country,Shire of Colac-Otway,Hotel,867574.07,863782.84,1731356.91,23
AUSTRALIAN CROATIAN NATIONAL HALL,Country,City of Greater Geelong,Club,1890568.68,1666824.93,3557393.61,30
BACCHUS MARSH GOLF CLUB,Country,Shire of Moorabool,Club,611960.63,587936.68,1199897.31,30
BAIRNSDALE BOWLS CLUB,Country,Shire of East Gippsland,Club,1235872.14,1198073.84,2433945.98,26
BAIRNSDALE CLUB,Country,Shire of East Gippsland,Club,458903.42,488537.26,947440.6799999999,15
BAIRNSDALE RSL,Country,Shire of East Gippsland,Club,3583850.5,3501958.29,7085808.79,51
BAIRNSDALE SPORTING AND CONVENTION CENTR,Country,Shire of East Gippsland,Club,1890437.69,1976032.83,3866470.52,37
BAKERS ARMS HOTEL,Metro,City of Yarra,Hotel,2631148.21,2628544.1,5259692.3100000005,32
BALACLAVA HOTEL,Metro,City of Port Phillip,Hotel,2891126.92,2619545.68,5510672.6,45
BALLARAT CLUB HOTEL,Country,City of Ballarat,Hotel,6889963.74,6624265.4,13514229.14,105
BALLARAT & DISTRICT TROTTING CLUB,Country,City of Ballarat,Club,3075253.96,3022405.87,6097659.83,50
BALLARAT GOLF CLUB,Country,City of Ballarat,Club,1524924.3,1370085.75,2895010.05,31
BALLARAT LEAGUES CLUB,Country,City of Ballarat,Club,1666776.48,1400167.13,3066943.61,54
BATMAN'S HILL ON COLLINS,Metro,City of Melbourne,Hotel,0,0,0,0
BAXTER TAVERN HOTEL MOTEL,Metro,Shire of Mornington Peninsula,Hotel,3799016.47,3442684.63,7241701.1,45
BAYSWATER HOTEL,Metro,City of Knox,Hotel,5856797.76,5022519.13,10879316.89,80
BELL PARK SPORT & RECREATION CLUB,Country,City of Greater Geelong,Club,286665.05,270341.46,557006.51,28
BELL'S HOTEL,Metro,City of Port Phillip,Hotel,1777300.43,1847766.25,3625066.6799999997,40
BENALLA BOWLS CLUB,Country,Rural City of Benalla,Club,1404408.3,1312838.36,2717246.66,50
BENALLA GOLF CLUB,Country,Rural City of Benalla,Club,569735.36,496851.99,1066587.35,25
BENDIGO DISTRICT RSL CLUB,Country,City of Greater Bendigo,Club,5073815.16,4870828.47,9944643.629999999,93
BENDIGO STADIUM,Country,City of Greater Bendigo,Club,3487766.95,3081187.06,6568954.01,105
BENTLEIGH CLUB,Metro,City of Glen Eira,Club,0,0,0,0
BENTLEIGH RSL,Metro,City of Glen Eira,Club,4629159.98,4893188.43,9522348.41,90
BERWICK INN TAVERNER,Metro,City of Casey,Hotel,4087149.02,4460257.14,8547406.16,56
BERWICK SPRINGS HOTEL,Metro,City of Casey,Hotel,11806929.51,11273809.56,23080739.07,105
BIRALLEE TAVERN,Country,Rural City of Wodonga,Hotel,1044901.53,1103479.64,2148381.17,30
BLACKBURN HOTEL,Metro,City of Whitehorse,Hotel,4360767.84,3943869.78,8304637.619999999,66
BLAZING STUMP HOTEL,Country,Rural City of Wodonga,Hotel,1225847.92,1040969.94,2266817.86,40
BLUE BELL HOTEL,Country,City of Ballarat,Hotel,3836812.01,3528504.53,7365316.539999999,40
BORONIA CLUB HOTEL,Metro,City of Knox,Hotel,5448802.36,5580219.66,11029022.02,80
BOUNDARY TAVERNER,Metro,City of Glen Eira,Hotel,4319195.59,4124551.98,8443747.57,75
BOURKE HILL'S WELCOME STRANGER,Metro,City of Melbourne,Hotel,8248343.45,8413907.04,16662250.489999998,99
BOX HILL GOLF CLUB,Metro,City of Whitehorse,Club,1509288.29,1437787.81,2947076.1,39
BOX HILL RSL,Metro,City of Whitehorse,Club,5803677.14,5795005.88,11598683.02,103
BRAYBROOK HOTEL,Metro,City of Maribyrnong,Hotel,4874918.12,4723388.16,9598306.280000001,45
BRIDGE INN HOTEL,Metro,City of Whittlesea,Hotel,6890480.54,5840039.82,12730520.36,60
BRIGHTON BEACH HOTEL,Metro,City of Bayside,Hotel,2129482.94,1907361.24,4036844.1799999997,48
BROADMEADOWS SPORTING CLUB,Metro,City of Hume,Club,1229419.56,1027675.49,2257095.05,55
BROWNS CORNER,Metro,City of Moreland,Hotel,2725178.95,2610650.51,5335829.46,35
BUNDOORA TAVERNER,Metro,City of Whittlesea,Hotel,12637486.86,12172183.54,24809670.4,95
BURVALE HOTEL,Metro,City of Whitehorse,Hotel,5149768.33,4943771.16,10093539.49,73
CARDINIA CLUB,Metro,Shire of Cardinia,Club,5346423.39,4827038.63,10173462.02,105
CARDINIA PARK HOTEL,Metro,Shire of Cardinia,Hotel,1275064.06,1207428.43,2482492.49,40
CASA D'ABRUZZO CLUB,Metro,City of Whittlesea,Club,3864092.24,3578014.67,7442106.91,75
CASTELLO'S CARDINIA HOTEL,Metro,Shire of Cardinia,Hotel,3346355.1,3092982.29,6439337.390000001,70
CAULFIELD GLASSHOUSE,Metro,City of Glen Eira,Club,5076379.04,5277840.51,10354219.55,105
CAULFIELD RSL,Metro,City of Glen Eira,Club,1377580.18,1273042.97,2650623.15,52
CENTURY CITY WALK,Metro,City of Monash,Hotel,6313565.25,6372262.81,12685828.059999999,65
CHALAMBAR GOLF CLUB,Country,Rural City of Ararat,Club,683427.29,630815.34,1314242.63,33
CHELSEA HEIGHTS HOTEL,Metro,City of Kingston,Hotel,2843599.56,2566285.09,5409884.65,40
CHELTENHAM MOORABBIN RSL,Metro,City of Kingston,Club,1092569.6,1084843.14,2177412.74,41
CHERRY HILL TAVERN,Metro,City of Manningham,Hotel,3589418.87,3553614.31,7143033.18,50
CHIRNSIDE PARK COUNTRY CLUB,Metro,Shire of Yarra Ranges,Club,1185727.43,1124867.8,2310595.23,37
CITY BOWLS CLUB COLAC,Country,Shire of Colac-Otway,Club,563943.7,463015.73,1026959.4299999999,20
CITY FAMILY HOTEL,Country,City of Greater Bendigo,Club,1047377.54,1036305.48,2083683.02,39
CITY MEMORIAL BOWLS CLUB,Country,City of Warrnambool,Club,2342324.34,2369473.21,4711797.55,38
CLAYTON BOWLS CLUB,Metro,City of Kingston,Club,1053747.41,1137600.73,2191348.1399999997,29
CLAYTON RSL,Metro,City of Monash,Club,2271894.47,2230785.84,4502680.3100000005,71
CLIFTON SPRINGS GOLF CLUB,Country,City of Greater Geelong,Club,2266846.86,2337004.12,4603850.98,50
CLOCKS AT FLINDERS STREET STATION,Metro,City of Melbourne,Club,6946219.95,7286820.06,14233040.01,100
CLUB HOTEL,Metro,City of Maroondah,Hotel,0,0,0,0
CLUB HOTEL (FERNTREE GULLY),Metro,City of Knox,Hotel,2302918.61,1998210.63,4301129.24,40
CLUB HOTEL (WARRAGUL),Country,Shire of Baw Baw,Club,1091428.02,1090413.23,2181841.25,30
CLUB ITALIA SPORTING CLUB,Metro,City of Brimbank,Club,3531856.69,3573075.2,7104931.890000001,60
CLUB KILSYTH,Metro,City of Maroondah,Club,4212735.79,3886187.36,8098923.15,105
CLUB LAVERTON,Metro,City of Hobsons Bay,Club,4058254.02,3688047.27,7746301.29,60
CLUB LEEDS,Metro,City of Maribyrnong,Club,2390162.24,2431784.54,4821946.78,30
CLUB OFFICER,Metro,Shire of Cardinia,Club,3373461.72,3532873.53,6906335.25,60
CLUB RINGWOOD,Metro,City of Maroondah,Club,2462199.19,2343096.89,4805296.08,82
CLUB TARNEIT,Metro,City of Wyndham,Club,0,573043.08,573043.08,70
COBDEN GOLF CLUB,Country,Shire of Corangamite,Club,567661.87,462880.21,1030542.0800000001,28
COBRAM HOTEL,Country,Shire of Moira,Hotel,1771863.79,1949317.17,3721180.96,43
COLAC BOWLING CLUB,Country,Shire of Colac-Otway,Club,456907.13,488627.61,945534.74,20
COLAC RSL,Country,Shire of Colac-Otway,Club,391286.7,378935.28,770221.98,25
COMMERCIAL HOTEL (CAMPERDOWN),Country,Shire of Corangamite,Hotel,1330250.23,1424635.18,2754885.41,29
COMMERCIAL HOTEL (SWAN HILL),Country,Rural City of Swan Hill,Hotel,1304854.41,1200585.17,2505439.58,14
COMMERCIAL TAVERNER,Metro,City of Wyndham,Hotel,7756523.1,8539469.44,16295992.54,75
COOLAROO TAVERNER,Metro,City of Hume,Hotel,3550025.15,2993686.88,6543712.029999999,47
CORRYONG SPORTING COMPLEX,Country,Shire of Towong,Club,188392.08,247644.07,436036.15,10
COURT HOUSE HOTEL (BACCHUS MARSH),Country,Shire of Moorabool,Hotel,2809769.58,2483418.26,5293187.84,40
COURT HOUSE HOTEL (FOOTSCRAY),Metro,City of Maribyrnong,Hotel,1924864.2,1970980.41,3895844.61,21
COURT JESTER HOTEL,Metro,City of Stonnington,Hotel,4103233.95,4583768.54,8687002.49,48
CRAIGIEBURN SPORTING CLUB,Metro,City of Hume,Club,6200333.33,5888612.75,12088946.08,70
CRAIG'S ROYAL HOTEL,Country,City of Ballarat,Hotel,3056911.22,3201099.77,6258010.99,45
CRAMERS HOTEL,Metro,City of Darebin,Hotel,5898302.22,5274013.63,11172315.85,79
CRANBOURNE SILKS,Metro,City of Casey,Club,1876731.98,1505954.57,3382686.55,50
CROSS KEYS HOTEL,Metro,City of Moonee Valley,Hotel,2452311.52,2458313.15,4910624.67,40
CROWN HOTEL,Metro,Shire of Yarra Ranges,Hotel,2957895.73,2867534.74,5825430.470000001,68
CROXTON PARK HOTEL,Metro,City of Darebin,Hotel,2563157.8,2144597.85,4707755.65,54
CROYDON HOTEL,Metro,City of Maroondah,Hotel,5424143.39,5212263.83,10636407.219999999,105
CUMBERLAND HOTEL,Country,Shire of Mount Alexander,Hotel,1656210.46,1515553.68,3171764.1399999997,30
DANDENONG CLUB,Metro,City of Greater Dandenong,Club,5690139.11,5220497.31,10910636.42,103
DANDENONG RSL,Metro,City of Greater Dandenong,Club,4403860.96,4249924.51,8653785.469999999,63
DANDENONG WORKERS SOCIAL CLUB,Metro,City of Greater Dandenong,Club,1222445.59,1115409.99,2337855.58,77
DAREBIN RSL,Metro,City of Darebin,Club,2500845.14,2482318.33,4983163.470000001,65
DAVA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1624496.44,1647115.28,3271611.7199999997,32
DAYLESFORD BOWLING CLUB,Country,Shire of Hepburn,Club,722363.92,747224.16,1469588.08,32
DEER PARK CLUB,Metro,City of Brimbank,Club,8794260.77,8120925.32,16915186.09,80
DEER PARK HOTEL,Metro,City of Brimbank,Hotel,9472476.05,8359023.68,17831499.73,80
DERRIMUT HOTEL,Metro,City of Brimbank,Hotel,4442775.93,3924364.8200000003,8367140.75,54
DIAMOND CREEK HOTEL,Metro,Shire of Nillumbik,Hotel,3005338.06,2726152.19,5731490.25,50
DICK WHITTINGTON TAVERN,Metro,City of Port Phillip,Hotel,988487.89,898610.69,1887098.58,40
DINGLEY INTERNATIONAL HOTEL,Metro,City of Kingston,Hotel,8616018.11,8117717.95,16733736.059999999,90
DONCASTER HOTEL,Metro,City of Manningham,Hotel,8050414.45,7998809.54,16049223.99,85
DORSET GARDENS HOTEL,Metro,City of Maroondah,Hotel,10514738.41,10541286.79,21056025.2,97
DROMANA HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1994147.11,2208309.8,4202456.91,41
DRUMS HOTEL,Metro,City of Moreland,Hotel,4710558.25,4712288.54,9422846.79,75
DUKE OF EDINBURGH,Metro,City of Moreland,Hotel,3515723.6,3493247.99,7008971.59,50
EASTWOOD GOLF CLUB,Metro,City of Maroondah,Club,58472.7,63379.45,121852.15,19
ECHUCA HOTEL,Country,Shire of Campaspe,Hotel,460479.49,492545.43,953024.9199999999,30
ECHUCA WORKERS AND SERVICES CLUB,Country,Shire of Campaspe,Club,2246253.5,2336384.39,4582637.890000001,83
EDITHVALE - CHELSEA RSL,Metro,City of Kingston,Club,2269890.37,2372204.24,4642094.61,80
EDWARDES LAKE HOTEL,Metro,City of Darebin,Hotel,7474312.06,6959802.79,14434114.85,100
ELGIN'S,Country,Rural City of Wodonga,Hotel,3161383.28,3206184.5,6367567.779999999,80
ELSTERNWICK HOTEL,Metro,City of Port Phillip,Hotel,835789.21,868431.26,1704220.47,28
ELTHAM HOTEL,Metro,Shire of Nillumbik,Hotel,1789259.49,1848120.28,3637379.77,40
EPPING HOTEL,Metro,City of Whittlesea,Hotel,5408228.98,5202076.07,10610305.05,40
EPPING PLAZA HOTEL,Metro,City of Whittlesea,Hotel,13291359.13,11901851.73,25193210.86,99
EPPING RSL,Metro,City of Whittlesea,Club,3138295.12,3016278.27,6154573.390000001,45
ESPLANADE HOTEL (INVERLOCH),Country,Shire of Bass Coast,Hotel,741605.49,666569.97,1408175.46,17
ESSENDON FOOTBALL & COMMUNITY SPORTING C,Metro,City of Moonee Valley,Club,3068253.61,3292345.43,6360599.04,100
EXCELSIOR HOTEL,Metro,City of Whittlesea,Hotel,11454022.83,10699845.02,22153867.85,89
FAMILY HOTEL,Country,Shire of Baw Baw,Hotel,1953140.7,1700369.48,3653510.1799999997,28
FAWKNER RSL,Metro,City of Moreland,Club,571023.39,628091,1199114.3900000001,33
FERNTREE GULLY BOWLING CLUB,Metro,City of Knox,Club,554940.46,627212.11,1182152.5699999998,34
FERNTREE GULLY HOTEL,Metro,City of Knox,Hotel,1976796.75,1649385.06,3626181.81,49
FIRST & LAST HOTEL,Metro,City of Moreland,Hotel,5706599.32,5036833.55,10743432.870000001,64
FLYING HORSE BAR AND BREWERY,Country,City of Warrnambool,Hotel,206907.9,200141.36,407049.26,8
FORESTERS ARMS HOTEL,Metro,City of Monash,Hotel,2218432.35,1938483.29,4156915.64,46
FOSTER GOLF CLUB,Country,Shire of South Gippsland,Club,480711.98,371338.13,852050.11,25
FOUNTAIN GATE TAVERNER,Metro,City of Casey,Hotel,8078069.38,7328160.02,15406229.399999999,85
FRANKSTON RSL,Metro,City of Frankston,Club,5817228.04,5786758.88,11603986.92,82
FRECCIA AZZURRA CLUB,Metro,City of Kingston,Club,895928.01,786905.61,1682833.62,35
FURLAN CLUB,Metro,City of Darebin,Club,225074.35,49650.63,274724.98,0
FYANSFORD HOTEL,Country,City of Greater Geelong,Hotel,1586716.6,1426055.48,3012772.08,39
GATEWAY HOTEL,Country,City of Greater Geelong,Hotel,3235721.06,3007940.61,6243661.67,50
GEELONG COMBINED LEAGUES CLUB,Country,City of Greater Geelong,Club,4981512.63,5098816.46,10080329.09,105
GEELONG RSL,Country,City of Greater Geelong,Club,2953260.15,2880434.01,5833694.16,72
GEORGE HOTEL,Country,City of Ballarat,Hotel,993617.03,842458.32,1836075.35,28
GLADSTONE PARK HOTEL,Metro,City of Hume,Hotel,11544484.94,11588894.4,23133379.34,86
GLENGALA HOTEL,Metro,City of Brimbank,Hotel,5163650.99,4780707.95,9944358.940000001,50
GLENROY RSL,Metro,City of Moreland,Club,3023860.53,3035092.2,6058952.73,40
GOLDEN FLEECE HOTEL (MELTON),Metro,Shire of Melton,Hotel,5276933.36,5016602.19,10293535.55,45
GOLDEN NUGGET,Metro,City of Melbourne,Hotel,4590743.29,4693758.77,9284502.059999999,60
GOLF HOUSE HOTEL,Country,City of Ballarat,Hotel,954145.07,939219.68,1893364.75,30
GORDON HOTEL,Country,Shire of Glenelg,Hotel,843957.01,962882.49,1806839.5,23
GOULBURN VALLEY HOTEL,Country,City of Greater Shepparton,Hotel,2928320.3,3128237.51,6056557.81,40
GRAND CENTRAL HOTEL (HAMILTON),Country,Shire of Southern Grampians,Hotel,2153597.52,2163097.02,4316694.54,40
GRAND HOTEL (FRANKSTON),Metro,City of Frankston,Hotel,3282285.74,2759618.98,6041904.720000001,64
GRAND HOTEL (MORNINGTON),Metro,Shire of Mornington Peninsula,Hotel,5572089.7,5321462.95,10893552.65,70
GRAND JUNCTION HOTEL,Country,City of Latrobe,Hotel,3177905.14,3250261.67,6428166.8100000005,34
GRAND ON DEAKIN,Country,Rural City of Mildura,Hotel,869454.96,653332.01,1522786.97,15
GRAND TERMINUS HOTEL,Country,Shire of East Gippsland,Hotel,1425160.19,1423203.22,2848363.41,24
GREAT WESTERN HOTEL,Country,City of Greater Geelong,Hotel,1936963.66,1919200.45,3856164.11,36
GREEN GULLY SOCCER CLUB,Metro,City of Brimbank,Club,3183947.47,2796746.27,5980693.74,70
GREENSBOROUGH HOTEL,Metro,City of Banyule,Hotel,1274866.11,1104676.43,2379542.54,30
GREENSBOROUGH RSL,Metro,City of Banyule,Club,2930070.36,3024158.97,5954229.33,78
GREYHOUNDS ENTERTAINMENT,Metro,City of Greater Dandenong,Club,7305742.69,7111845.73,14417588.420000002,93
GROSVENOR HOTEL,Metro,City of Port Phillip,Hotel,330539.6,313847.46,644387.06,22
GROVEDALE HOTEL,Country,City of Greater Geelong,Hotel,6046960.01,5817427.66,11864387.67,80
HALLAM TAVERNER,Metro,City of Casey,Hotel,7886210.6,7319049.7,15205260.3,80
HAMPTON BOWLS CLUB,Metro,City of Bayside,Club,35340.24,0,35340.24,0
HAMPTON PARK TAVERN,Metro,City of Casey,Hotel,8725381.24,7798313.07,16523694.31,73
HARP OF ERIN HOTEL,Metro,City of Boroondara,Hotel,3894862.49,3961896.62,7856759.11,47
HASTINGS CRICKET & FOOTBALL SOCIAL CLUB,Metro,Shire of Mornington Peninsula,Club,1467446.89,755445.9,2222892.79,0
HEADQUARTERS TAVERN,Metro,City of Melbourne,Club,1372266.82,1381455.33,2753722.1500000004,80
HEALESVILLE RSL,Metro,Shire of Yarra Ranges,Club,1215154.91,1285829.45,2500984.36,50
HIGHETT RETURNED & SERVICES CLUB,Metro,City of Kingston,Club,1228347.7,1354636.27,2582983.9699999997,41
HIGHLANDS HOTEL,Metro,City of Hume,Hotel,9460385.75,9286120.23,18746505.98,80
HIGHPOINT TAVERNER,Metro,City of Maribyrnong,Hotel,3940795.79,4006881.29,7947677.08,70
HIGHWAYS SANDOWN,Metro,City of Greater Dandenong,Club,10503426.93,11252152.12,21755579.049999997,90
HILL TOP GOLF AND COUNTRY CLUB,Country,City of Greater Shepparton,Club,306441.9,241547.35,547989.25,10
HOGANS HOTEL,Country,Shire of Mitchell,Hotel,3437057.45,3517078.75,6954136.2,65
HOPPERS CROSSING CLUB,Metro,City of Wyndham,Club,3196161.91,3486910.6,6683072.51,91
HOPPERS CROSSING SPORTS CLUB,Metro,City of Wyndham,Club,2842856.74,2766453.23,5609309.970000001,55
HORSHAM RSL,Country,Rural City of Horsham,Club,1203189.23,1091411.09,2294600.3200000003,36
HORSHAM SPORTS & COMMUNITY CLUB,Country,Rural City of Horsham,Club,3727821.43,3662913.83,7390735.26,83
HOTEL 520 ON SAYERS,Metro,City of Wyndham,Hotel,7167276.29,7679327.84,14846604.129999999,65
ITALIAN AUSTRALIAN SPORTING AND SOCIAL C,Country,City of Latrobe,Club,2035671.84,1910876.49,3946548.33,42
ITALIAN SPORTS CLUB OF WERRIBEE,Metro,City of Wyndham,Club,3574071.89,3736027.31,7310099.2,70
IVANHOE HOTEL,Metro,City of Banyule,Hotel,5249578.62,5000197.35,10249775.969999999,100
JOKERS ON RYRIE,Country,City of Greater Geelong,Hotel,2103178.5,2172308.99,4275487.49,47
JUNCTION HOTEL,Metro,City of Darebin,Hotel,2486981.22,2322820,4809801.220000001,46
KANGAROO FLAT SPORTS CLUB,Country,City of Greater Bendigo,Club,1533865.42,1513604.34,3047469.76,60
KARINGAL BOWLING CLUB,Metro,City of Frankston,Club,1068180.11,1021697.55,2089877.6600000001,29
KEALBA HOTEL,Metro,City of Brimbank,Hotel,12123073.77,11603362.09,23726435.86,86
KEILOR EAST RSL,Metro,City of Moonee Valley,Club,1652712.45,1464079.4,3116791.8499999996,39
KEILOR HOTEL,Metro,City of Brimbank,Hotel,2994399.94,3050172.49,6044572.43,50
KERANG SPORTS AND ENTERTAINMENT VENUE,Country,Shire of Gannawarra,Club,1137459.28,1172271.8,2309731.08,45
KEYSBOROUGH HOTEL,Metro,City of Greater Dandenong,Hotel,12420683.82,11182890.32,23603574.14,89
KILMORE TRACKSIDE,Country,Shire of Mitchell,Club,3552077.23,3391495.85,6943573.08,76
KINGS CREEK HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2294901.21,2430678.12,4725579.33,33
KIRKPATRICKS HOTEL,Metro,Shire of Mornington Peninsula,Hotel,583925.08,581849.21,1165774.29,40
KNOX CLUB,Metro,City of Knox,Club,4674693.42,4331398.36,9006091.780000001,100
KNOX TAVERN,Metro,City of Knox,Hotel,4031491.13,3939953.03,7971444.16,77
KOORINGAL GOLF CLUB,Metro,City of Hobsons Bay,Club,1934224.53,1942520.23,3876744.76,61
KORUMBURRA HOTEL,Country,Shire of South Gippsland,Hotel,1071773.26,1087407.7,2159180.96,16
KYABRAM CLUB,Country,Shire of Campaspe,Club,1915109.02,2105669.09,4020778.11,63
KYNETON BOWLING CLUB,Country,Shire of Macedon Ranges,Club,829501.99,813650.95,1643152.94,25
KYNETON RSL,Country,Shire of Macedon Ranges,Club,1146657.65,1273289.32,2419946.9699999997,28
LAKES ENTRANCE BOWLS CLUB,Country,Shire of East Gippsland,Club,2151040.74,2135642.37,4286683.11,63
LAKES ENTRANCE RSL,Country,Shire of East Gippsland,Club,1187081.52,1294200.48,2481282,35
LAKESIDE CLUB,Country,Shire of Wellington,Club,335976.6,322475.84,658452.44,33
LALOR BOWLING CLUB,Metro,City of Whittlesea,Club,1120012.49,988759.47,2108771.96,36
LANGWARRIN HOTEL,Metro,City of Frankston,Hotel,4172080.64,4355697.09,8527777.73,62
LARA HOTEL,Country,City of Greater Geelong,Hotel,1571448.97,1358196.04,2929645.01,40
LARA SPORTING CLUB,Country,City of Greater Geelong,Club,1361624.77,1340785.6,2702410.37,50
LEONGATHA RSL,Country,Shire of South Gippsland,Club,1470304.35,1419117.22,2889421.5700000003,44
LEOPOLD SPORTSMANS CLUB,Country,City of Greater Geelong,Club,2197009.24,2119990.21,4316999.45,42
LINCOLNSHIRE ARMS HOTEL,Metro,City of Moonee Valley,Hotel,2092115.78,1816491.17,3908606.95,38
LONG BEACH HOTEL,Metro,City of Kingston,Hotel,2609578.31,2531161.96,5140740.27,49
LORD OF THE ISLES TAVERN,Country,City of Greater Geelong,Hotel,3646510.8,3419300.05,7065810.85,60
LORNE HOTEL,Country,Shire of Surf Coast,Hotel,237000.77,318031.36,555032.13,10
LOWER PLENTY HOTEL,Metro,City of Banyule,Hotel,3957369.63,3664239.19,7621608.82,85
LYNBROOK HOTEL,Metro,City of Casey,Hotel,6041208.61,5531749.42,11572958.030000001,55
MAC'S HOTEL (MELTON),Metro,Shire of Melton,Hotel,8048262.96,7466721.67,15514984.629999999,82
MAC'S HOTEL (WARRNAMBOOL),Country,City of Warrnambool,Hotel,2294241.43,2174233.32,4468474.75,31
MAFFRA COMMUNITY SPORTS CLUB,Country,Shire of Wellington,Club,1786430.51,1940061.99,3726492.5,35
MAIL EXCHANGE HOTEL,Metro,City of Melbourne,Hotel,6730661.53,7166987.09,13897648.620000001,80
MALVERNVALE HOTEL,Metro,City of Stonnington,Hotel,1679006.03,1511327.07,3190333.1,30
MANHATTAN HOTEL,Metro,City of Maroondah,Hotel,4642052.02,4246962.67,8889014.69,72
MANNINGHAM CLUB,Metro,City of Manningham,Club,1963474.49,1513045.7,3476520.19,90
MANSFIELD GOLF CLUB,Country,Shire of Mansfield,Club,816804.39,836024.86,1652829.25,40
MARINE HOTEL,Metro,City of Bayside,Hotel,322042.42,0,322042.42,0
MAROONDAH SPORTS CLUB,Metro,City of Maroondah,Club,0,0,0,0
MARYBOROUGH GOLF CLUB,Country,Shire of Central Goldfields,Club,1040229.24,897042.43,1937271.67,40
MARYBOROUGH HIGHLAND SOCIETY,Country,Shire of Central Goldfields,Club,3192161.29,3148925.73,6341087.02,59
MATTHEW FLINDERS TAVERNER,Metro,City of Monash,Hotel,5719217.53,5698573.01,11417790.54,75
MCCARTINS HOTEL,Country,Shire of South Gippsland,Hotel,627472.02,629309.88,1256781.9,20
MCKINNON HOTEL,Metro,City of Glen Eira,Hotel,1816795.56,1509380.99,3326176.55,45
MEADOW INN HOTEL,Metro,City of Hume,Hotel,5781173.93,5177250.93,10958424.86,70
MELTON COUNTRY CLUB,Metro,Shire of Melton,Club,4179943.21,3877759.44,8057702.65,90
