Name ,Region ,LGA Name,Venue type ,"Expenditure
MENTONE RSL,Metro,City of Kingston,Club,292177.42,261154.17,553331.59,25
MERBEIN CITIZENS CLUB,Country,Rural City of Mildura,Club,644020.05,658970.49,1302990.54,20
PULLMAN MELBOURNE ON SWANSTON,Metro,City of Melbourne,Hotel,7502351.6,7100339.74,14602691.34,90
MIDLANDS GOLF CLUB,Country,City of Ballarat,Club,1288623.55,1310514.85,2599138.4000000004,32
MILANO'S HOTEL,Metro,City of Bayside,Hotel,0,0,0,0
MILDURA GATEWAY TAVERN,Country,Rural City of Mildura,Hotel,7819676.39,7640961.77,15460638.16,75
MILDURA GOLF CLUB,Country,Rural City of Mildura,Club,385549.57,315768.01,701317.5800000001,20
MILDURA RSL,Country,Rural City of Mildura,Club,3266276.92,3392464.44,6658741.359999999,45
MILDURA WORKING MANS SPORTS & SOCIAL CLU,Country,Rural City of Mildura,Club,3873138.4,4004193.61,7877332.01,67
MILLERS INN HOTEL,Metro,City of Hobsons Bay,Hotel,6348968.82,5847513.08,12196481.9,70
MITCHAM HOTEL,Metro,City of Whitehorse,Hotel,3339270.09,3154114.86,6493384.949999999,60
MITCHELL RIVER TAVERN,Country,Shire of East Gippsland,Hotel,780903.36,715157.32,1496060.68,16
MOE HOTEL,Country,City of Latrobe,Hotel,584131.22,467682.1,1051813.3199999998,22
MOE RACING CLUB,Country,City of Latrobe,Club,4292213.23,4228469.9,8520683.13,75
MOE RSL CLUB,Country,City of Latrobe,Club,1643498.69,1682843.97,3326342.66,45
MONASH HOTEL,Metro,City of Monash,Hotel,2541133.56,2224814.88,4765948.4399999995,44
MONBULK BOWLING CLUB,Metro,Shire of Yarra Ranges,Club,863899.49,851041.37,1714940.8599999999,40
MONTMORENCY RSL,Metro,City of Banyule,Club,1015403.34,1045116.11,2060519.45,50
MOONEE VALLEY RACING CLUB,Metro,City of Moonee Valley,Club,1908379.46,1747852.8,3656232.26,105
MOOROOPNA GOLF CLUB,Country,City of Greater Shepparton,Club,1719760.53,1537929.46,3257689.99,40
MORDIALLOC SPORTING CLUB,Metro,City of Kingston,Club,1790169.6,1535319.8,3325489.4000000004,82
MORELAND HOTEL,Metro,City of Moreland,Hotel,3804809.97,3469328.36,7274138.33,70
MORNINGTON ON TANTI HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1411598.02,1307695.65,2719293.67,40
MORWELL BOWLING CLUB,Country,City of Latrobe,Club,2957042.19,2971761.29,5928803.48,69
MORWELL CLUB,Country,City of Latrobe,Club,848399.58,763109.07,1611508.65,35
MORWELL HOTEL,Country,City of Latrobe,Hotel,846015.63,826135.26,1672150.8900000001,15
MORWELL RSL,Country,City of Latrobe,Club,2077605.26,1924240.66,4001845.92,46
MOTOR CLUB HOTEL,Metro,City of Casey,Hotel,6602456.45,6388644.05,12991100.5,70
MOUNTAIN VIEW HOTEL,Metro,City of Monash,Hotel,4548450.07,4101291.48,8649741.55,62
MULGRAVE COUNTRY CLUB,Metro,City of Monash,Club,5838459.56,5983564.95,11822024.51,105
MVRC JUNCTION CLUB,Metro,City of Moonee Valley,Club,2750737.19,2923698.42,5674435.609999999,80
MVRC LEIGHOAK CLUB,Metro,City of Monash,Club,4457118.41,4564399.86,9021518.27,92
MYRTLEFORD SAVOY SPORTING CLUB,Country,Shire of Alpine,Club,525625.12,618807.93,1144433.05,40
NAGAMBIE LAKES ENTERTAINMENT CENTRE,Country,Shire of Strathbogie,Club,1209661.75,1123077.91,2332739.66,32
NEW BAY HOTEL,Metro,City of Bayside,Hotel,1384313.29,1442078.57,2826391.8600000003,50
NEWBOROUGH BOWLING CLUB,Country,City of Latrobe,Club,507117.76,428026.61,935144.37,23
NEWMARKET TAVERN,Metro,City of Moonee Valley,Hotel,5630472.02,5226763.81,10857235.829999998,68
NOBLE PARK FOOTBALL SOCIAL CLUB,Metro,City of Greater Dandenong,Club,3162107.56,2846243.02,6008350.58,50
NOBLE PARK RSL,Metro,City of Greater Dandenong,Club,1906755.26,1792566.46,3699321.7199999997,35
NORLANE HOTEL,Country,City of Greater Geelong,Hotel,4364146.94,4274828.79,8638975.73,84
NORTH BALLARAT SPORTS CLUB,Country,City of Ballarat,Club,2293956.11,2135419.81,4429375.92,70
NORTHCOTE PARK FOOTBALL CLUB,Metro,City of Moreland,Club,1677542.14,1751412.55,3428954.69,85
NUMURKAH GOLF & BOWLS CLUB,Country,Shire of Moira,Club,1235239.41,1181405.28,2416644.69,60
OAKLEIGH JUNCTION HOTEL,Metro,City of Monash,Hotel,2570078.64,2227866.08,4797944.720000001,45
OCEAN GROVE BOWLING CLUB,Country,City of Greater Geelong,Club,2331611.18,2483356.45,4814967.630000001,60
OLD ENGLAND HOTEL,Metro,City of Banyule,Hotel,6371668.8,5904565.57,12276234.370000001,93
OLINDA CREEK HOTEL,Metro,Shire of Yarra Ranges,Hotel,1833429.12,1628218.31,3461647.43,47
OLIVE TREE HOTEL,Metro,City of Hume,Hotel,3491560.87,3038496.77,6530057.640000001,43
OLYMPIC HOTEL,Metro,City of Darebin,Hotel,5349888.57,5385269.98,10735158.55,80
OUYEN CLUB,Country,Rural City of Mildura,Club,158816.17,151981.68,310797.85,5
PAKENHAM HOTEL,Metro,Shire of Cardinia,Hotel,3429110.53,3240281.02,6669391.55,70
PALACE HOTEL,Metro,City of Boroondara,Hotel,2263318.9,2158808.09,4422126.99,40
PARKVIEW HOTEL,Metro,City of Yarra,Hotel,1234998.26,1259448.7,2494446.96,30
PASCOE VALE RSL,Metro,City of Moreland,Club,1231488.21,1140614.09,2372102.3,47
PASCOE VALE TAVERNER HOTEL,Metro,City of Moreland,Hotel,2831884.15,2704988.85,5536873,42
PENINSULA CLUB,Metro,Shire of Mornington Peninsula,Club,1209247.28,1280566.05,2489813.33,35
PENINSULA HOTEL MOTEL,Country,City of Greater Geelong,Hotel,3015861.24,3214087.59,6229948.83,55
PEPPERMILL INN HOTEL MOTEL,Country,City of Greater Shepparton,Hotel,1104486.69,1129401.34,2233888.0300000003,20
PHILLIP ISLAND RSL,Country,Shire of Bass Coast,Club,3635703.19,3823967.22,7459670.41,58
PHOENIX HOTEL,Country,City of Greater Geelong,Hotel,1622331.12,1463609.78,3085940.9000000004,28
PIER HOTEL,Metro,City of Frankston,Hotel,2645273.52,2268680.81,4913954.33,58
PINSENT HOTEL,Country,Rural City of Wangaratta,Hotel,2040794.29,1992156.21,4032950.5,44
PLAYERS HOTEL,Metro,City of Greater Dandenong,Hotel,1799224.81,1592139.07,3391363.88,25
PLAYERS ON LYGON,Metro,City of Melbourne,Hotel,3625980.06,3233729.54,6859709.6,69
PLOUGH HOTEL,Metro,City of Whittlesea,Hotel,11965163.98,11896785.95,23861949.93,100
POLISH COMMUNITY ASSOC IN GEELONG,Country,City of Greater Geelong,Club,923850.27,829695.51,1753545.78,35
PORTARLINGTON GOLF CLUB,Country,City of Greater Geelong,Club,3039762.88,3393002.98,6432765.859999999,65
PORTLAND FOOTBALL NETBALL CRICKET CLUB,Country,Shire of Glenelg,Club,575662.95,555382.17,1131045.12,25
PORTLAND RSL MEMORIAL BOWLING CLUB,Country,Shire of Glenelg,Club,1043842.15,1035218.59,2079060.74,40
POWELL HOTEL,Metro,City of Maribyrnong,Hotel,3314108.16,3654534.14,6968642.300000001,47
PRAHRAN FOOTBALL SOCIAL CLUB,Metro,City of Stonnington,Club,3071404.34,2833577.25,5904981.59,81
PRESTON HOTEL,Metro,City of Darebin,Hotel,2103445.79,1973088.76,4076534.55,40
PRINCE MARK HOTEL,Metro,City of Casey,Hotel,6922662.36,6636496.81,13559159.17,79
PUNTERS PALACE,Metro,City of Yarra,Hotel,0,0,0,0
QUEENSCLIFF BOWLING TENNIS AND CROQUET C,Country,Borough of Queenscliffe,Club,601964.39,574879.04,1176843.4300000002,30
RACECOURSE HOTEL (MALVERN EAST),Metro,City of Stonnington,Hotel,1016694.17,1010865.84,2027560.01,40
RACECOURSE HOTEL (WERRIBEE),Metro,City of Wyndham,Hotel,2365756.84,2421885.01,4787641.85,52
RAFFERTY'S TAVERN,Country,City of Warrnambool,Hotel,1084978.45,1074932.02,2159910.4699999997,19
RAILWAY CLUB HOTEL,Country,Shire of Mitchell,Hotel,2292526.33,2268795,4561321.33,33
RED CLIFFS CLUB,Country,Rural City of Mildura,Club,1472856.12,1651816.01,3124672.13,34
RED LION HOTEL,Country,City of Ballarat,Hotel,2166332.25,2196326.19,4362658.4399999995,54
RESERVOIR RSL,Metro,City of Darebin,Club,2261667.26,2039554.29,4301221.55,68
RIFLE CLUB HOTEL,Metro,City of Hobsons Bay,Hotel,1163479.2,1123789.71,2287268.91,40
RINGWOOD RSL,Metro,City of Maroondah,Club,2246423.7,2028359.73,4274783.43,70
RISING SUN HOTEL,Country,City of Greater Bendigo,Hotel,2040532.19,1969447.56,4009979.75,35
RIVERSDALE HOTEL,Metro,City of Boroondara,Hotel,1780738.62,1880446.76,3661185.38,42
RIVIERA HOTEL,Metro,City of Frankston,Hotel,1687856.63,1839816.77,3527673.4,40
ROBIN HOOD HOTEL,Country,City of Ballarat,Hotel,1097984.49,1082260.29,2180244.7800000003,28
ROBINVALE GOLF CLUB,Country,Rural City of Swan Hill,Club,1908767.72,2071083.74,3979851.46,68
ROSE SHAMROCK & THISTLE HOTEL,Metro,City of Darebin,Hotel,2010730.74,1942743.22,3953473.96,44
ROSEBUD COUNTRY CLUB,Metro,Shire of Mornington Peninsula,Club,342629.03,350473.08,693102.1100000001,40
ROSEBUD HOTEL,Metro,Shire of Mornington Peninsula,Hotel,6092023.48,6453625.64,12545649.120000001,70
ROSEBUD RSL,Metro,Shire of Mornington Peninsula,Club,3279829.8,3204470.68,6484300.48,75
ROSSTOWN HOTEL,Metro,City of Glen Eira,Hotel,10794059.1,9756411.09,20550470.189999998,103
ROXBURGH PARK HOTEL,Metro,City of Hume,Hotel,12275454.28,11481772.12,23757226.4,80
ROYAL EXCHANGE HOTEL,Country,City of Latrobe,Hotel,1346996.81,1258156.1,2605152.91,20
ROYAL HOTEL (BENALLA),Country,Rural City of Benalla,Hotel,1321185.72,1202186.65,2523372.37,30
ROYAL HOTEL (DAYLESFORD),Country,Shire of Hepburn,Hotel,1059203.88,962852.69,2022056.5699999998,25
ROYAL HOTEL (ESSENDON),Metro,City of Moonee Valley,Hotel,4365929.57,3853066.21,8218995.78,60
ROYAL HOTEL (SUNBURY),Metro,City of Hume,Hotel,3670827.3,3524623.26,7195450.56,31
ROYAL OAK HOTEL,Metro,City of Kingston,Hotel,5397918.14,5511306.96,10909225.1,91
ROYAL OAK RICHMOND,Metro,City of Yarra,Club,2392967.25,2435960.85,4828928.1,80
RUBICON HOTEL,Country,Shire of Murrindindi,Hotel,817255.88,795456.09,1612711.97,25
RYE HOTEL,Metro,Shire of Mornington Peninsula,Hotel,1292083.03,1352816.21,2644899.24,30
RYE RSL CLUB,Metro,Shire of Mornington Peninsula,Club,2493739.37,2693689.7,5187429.07,60
SALE & DISTRICT GREYHOUND RACING CLUB,Country,Shire of Wellington,Club,3528274.02,3602796.5,7131070.52,79
SANCTUARY LAKES HOTEL,Metro,City of Wyndham,Hotel,5598088.8,5804269.28,11402358.08,70
SANDBELT CLUB HOTEL,Metro,City of Kingston,Hotel,6403205.61,5962210.33,12365415.940000001,82
SANDOWN PARK HOTEL,Metro,City of Greater Dandenong,Hotel,8849073.17,7018808.02,15867881.19,76
SANDRINGHAM HOTEL,Metro,City of Bayside,Hotel,2723155.63,2436685.9,5159841.529999999,40
SANDS TAVERNER,Metro,City of Frankston,Hotel,5951753.6,5550737.27,11502490.87,65
SEAFORD RSL,Metro,City of Frankston,Club,1075027.29,949794.61,2024821.9,25
SEAFORD TAVERNER,Metro,City of Frankston,Hotel,8337464.97,7225279.85,15562744.82,94
SEAGULLS NEST,Metro,City of Hobsons Bay,Club,3375510.88,3275458.22,6650969.1,66
SEBASTOPOL BOWLING CLUB,Country,City of Ballarat,Club,2399667.17,2284181.05,4683848.22,50
SEYMOUR CLUB,Country,Shire of Mitchell,Club,1894708.59,1868925.46,3763634.05,50
SHAMROCK HOTEL,Country,City of Greater Bendigo,Hotel,2659432.91,2509437.33,5168870.24,65
SHANGHAI CLUB,Metro,City of Melbourne,Hotel,2223941.93,2162828.3,4386770.23,48
SHELL CLUB,Country,City of Greater Geelong,Club,4515130.75,4324891.03,8840021.780000001,76
SHEPPARTON CLUB,Country,City of Greater Shepparton,Club,3493495.17,3499357.15,6992852.32,56
SHEPPARTON RSL,Country,City of Greater Shepparton,Club,4674655.16,4474444.78,9149099.940000001,80
SHERBOURNE TERRACE,Country,City of Greater Shepparton,Hotel,3414820.76,3565041.57,6979862.33,43
SHOPPINGTOWN HOTEL,Metro,City of Manningham,Hotel,9495764.67,8651810.22,18147574.89,87
SIR HENRY BARKLY HOTEL,Metro,City of Banyule,Hotel,4296959.04,4441164.42,8738123.46,65
SKYWAYS TAVERNER,Metro,City of Moonee Valley,Hotel,12027827.59,11672790.26,23700617.85,96
SOMERVILLE HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2783585.28,2604397.78,5387983.06,39
SOUTH OAKLEIGH CLUB,Metro,City of Glen Eira,Club,0,0,0,0
SPHINX ENTERTAINMENT CENTRE,Country,City of Greater Geelong,Hotel,5128701.87,4842398.41,9971100.280000001,67
SPORTING LEGENDS CLUB,Country,Shire of Wellington,Club,4270523.24,3834044.61,8104567.85,74
SPORTSPARK GAMING AND ENTERTAINMENT CENT,Country,City of Ballarat,Club,1194923.96,1173482.41,2368406.37,35
SPRINGVALE RSL CLUB,Metro,City of Greater Dandenong,Club,3007005.39,3380493.64,6387499.03,55
ST ALBANS HOTEL,Metro,City of Brimbank,Hotel,6287753.62,5732004.01,12019757.629999999,50
ST ALBANS SPORTS CLUB,Metro,City of Brimbank,Club,2854638.52,2777429.65,5632068.17,35
ST ARNAUD SPORTING CLUB,Country,Shire of Northern Grampians,Club,853810.35,772257.07,1626067.42,35
ST GEORGE WORKERS CLUB,Country,City of Greater Geelong,Club,1455683.39,1489467,2945150.3899999997,35
ST KILDA ARMY & NAVY CLUB,Metro,City of Port Phillip,Club,1642009.97,1506275.91,3148285.88,53
ST KILDA FOOTBALL SOCIAL CLUB,Metro,City of Kingston,Club,891217.98,837689.31,1728907.29,83
STAMFORD HOTEL,Metro,City of Knox,Hotel,7287620.1,6389592.91,13677213.01,85
STAR HOTEL (SALE),Country,Shire of Wellington,Hotel,1145754.88,1077660.29,2223415.17,23
STAR HOTEL BRIGHT,Country,Shire of Alpine,Hotel,900957.36,831789,1732746.3599999999,18
STAWELL HARNESS RACING CLUB,Country,Shire of Northern Grampians,Club,1535200.73,1429621.95,2964822.6799999997,45
STEEPLES,Metro,Shire of Mornington Peninsula,Club,5351453.57,5688275.26,11039728.83,85
STONEYS CLUB,Country,Shire of Moorabool,Club,2045912.65,1852905.16,3898817.8099999996,40
SUGAR GUM HOTEL,Metro,Shire of Melton,Hotel,7334889.61,6739928.03,14074817.64,70
SUMMERHILL HOTEL,Metro,City of Darebin,Hotel,8580339.1,8260601.21,16840940.31,88
SUNBURY BOWLING CLUB,Metro,City of Hume,Club,2297440.87,2403369.1,4700809.970000001,78
SUNBURY SOCIAL CLUB,Metro,City of Hume,Club,496317.26,431455,927772.26,38
SUNBURY UNITED SPORTING CLUB,Metro,City of Hume,Club,1312054.87,1201800.12,2513854.99,40
SUNSHINE CITY CLUB,Metro,City of Brimbank,Club,448750.29,312961.05,761711.34,18
SUNSHINE RSL,Metro,City of Brimbank,Club,2007577.98,1898055.25,3905633.23,60
SWAN HILL CLUB,Country,Rural City of Swan Hill,Club,907882.09,952186.11,1860068.2,42
SWAN HILL RSL,Country,Rural City of Swan Hill,Club,652583.38,662536.85,1315120.23,35
SYLVANIA HOTEL,Metro,City of Hume,Hotel,6488037.54,5847683.08,12335720.620000001,75
TABCORP PARK,Metro,Shire of Melton,Club,5140803.52,4756288.58,9897092.1,80
TANKERVILLE ARMS HOTEL,Metro,City of Yarra,Hotel,2552549.92,2614966.21,5167516.13,49
TAYLORS LAKES FAMILY HOTEL,Metro,City of Brimbank,Hotel,8551990.06,7797947.93,16349937.99,96
TEMPLESTOWE HOTEL,Metro,City of Manningham,Hotel,4359042.98,4453623.25,8812666.23,60
TERMINUS HOTEL,Metro,Shire of Yarra Ranges,Hotel,373853.99,295925.13,669779.12,30
THE BAY & BRIDGE HOTEL,Metro,City of Port Phillip,Hotel,1467926.82,1403853.36,2871780.18,29
THE BEACH,Metro,City of Port Phillip,Hotel,946509.5,1195045.34,2141554.84,32
THE BENDIGO CLUB,Country,City of Greater Bendigo,Club,1315304.7,1463775.43,2779080.13,60
THE BOROUGH CLUB,Country,City of Greater Bendigo,Club,1509300.27,1447475.19,2956775.46,40
THE BRASS MONKEY ON LONSDALE,Metro,City of Melbourne,Hotel,0,575270.02,575270.02,50
THE BRIDGE HOTEL,Metro,City of Kingston,Hotel,1767982.84,1503073.9,3271056.74,50
THE BROOK ON SNEYDES,Metro,City of Wyndham,Club,5176112.07,5175955.56,10352067.629999999,80
THE BRUNSWICK CLUB,Metro,City of Moreland,Club,609256.34,558169.7,1167426.04,43
The CAMDEN TOWN HOTEL,Metro,City of Glen Eira,Hotel,2455009.32,2452348.76,4907358.08,50
THE CHASE HOTEL,Metro,City of Whitehorse,Hotel,9658922.5,10566087.69,20225010.189999998,90
THE CLAYTON HOTEL,Metro,City of Monash,Hotel,3461136.95,3266169.5,6727306.45,35
THE CLUB,Metro,Shire of Melton,Club,6480290.38,5863956.79,12344247.17,66
THE COACH AND HORSES,Metro,City of Maroondah,Club,3132541.37,2953799.11,6086340.48,90
THE COVE HOTEL,Metro,City of Kingston,Hotel,4239332.38,4159507.93,8398840.31,53
THE ELSTERNWICK CLUB,Metro,City of Glen Eira,Club,478791.94,447329.34,926121.28,32
THE FOUNDRY HOTEL COMPLEX,Country,City of Greater Bendigo,Hotel,663528.56,769518.12,1433046.6800000002,25
THE INTERNATIONAL,Metro,Shire of Yarra Ranges,Club,3546455.44,3295688.54,6842143.98,80
THE JIM DANDY HOTEL,Metro,City of Greater Dandenong,Hotel,0,0,0,0
THE LAKES ENTERTAINMENT CENTRE,Country,Shire of East Gippsland,Club,2088518.7,2038774.66,4127293.36,41
THE MEETING PLACE,Metro,City of Melbourne,Club,5966182.03,5915940.4,11882122.43,76
THE MOONEE PONDS CLUB,Metro,City of Moonee Valley,Club,1271403.09,1317401.21,2588804.3,50
THE OLD TOWN 'N' COUNTRY TAVERN,Country,Rural City of Wangaratta,Hotel,1260548.06,1164304.09,2424852.1500000004,35
THE ORBOST CLUB,Country,Shire of East Gippsland,Club,386661.98,417341.81,804003.79,24
THE PHOENIX HOTEL,Metro,City of Wyndham,Hotel,4030278.65,4331480.4,8361759.050000001,50
THE PINK HILL HOTEL,Metro,Shire of Cardinia,Hotel,2053634.62,2106821.93,4160456.5500000003,60
THE PRINCE OF WALES HOTEL - RICHMOND,Metro,City of Yarra,Hotel,2350333.63,2521083.66,4871417.29,40
THE REX,Metro,City of Port Phillip,Club,2316710.08,2339499.41,4656209.49,57
"THE RICHMOND HENTY HOTEL, PORTLAND",Country,Shire of Glenelg,Hotel,1690169.02,1613213.74,3303382.76,32
THE RICHMOND SOCIAL,Metro,City of Yarra,Hotel,2004910.45,2060486.3,4065396.75,31
THE ROYAL HOTEL FERNTREE GULLY,Metro,City of Knox,Hotel,3312708.06,3030869.6,6343577.66,69
THE SALE RSL & COMMUNITY SUB-BRANCH,Country,Shire of Wellington,Club,863045.94,841215.16,1704261.1,36
THE SETTLEMENT AT CRANBOURNE,Metro,City of Casey,Hotel,7892515.31,6634933.45,14527448.76,52
THE TIGERS CLUBHOUSE,Metro,City of Wyndham,Club,8040262.61,9154956.11,17195218.72,85
THE VALE HOTEL,Metro,City of Monash,Hotel,4705015.91,4084189.84,8789205.75,55
THE VIC INN,Metro,City of Hobsons Bay,Club,1863631.19,1638237.91,3501869.0999999996,60
THE YARRAM COUNTRY CLUB,Country,Shire of Wellington,Club,1333946.91,1409654.77,2743601.6799999997,37
TOORADIN & DISTRICT SPORTS CLUB,Metro,City of Casey,Club,1155591.3,1250180.05,2405771.35,46
TORQUAY HOTEL,Country,Shire of Surf Coast,Hotel,1586210.08,1740732.28,3326942.3600000003,45
TOWER HOTEL,Metro,City of Boroondara,Hotel,1523442.09,1341849.37,2865291.46,33
TRARALGON BOWLS CLUB,Country,City of Latrobe,Club,3733687.08,3122863.6,6856550.68,59
TRARALGON RSL,Country,City of Latrobe,Club,1354134.37,1345292.12,2699426.49,37
TRIOS SPORTS CLUB,Metro,City of Casey,Club,6436029.39,6436679.27,12872708.66,75
TUDOR INN HOTEL,Metro,City of Kingston,Hotel,2677578.1,2508946.76,5186524.859999999,47
UNION CLUB HOTEL,Country,Shire of Colac-Otway,Hotel,1811469.5,1437824.15,3249293.65,22
UPPER YARRA RSL,Metro,Shire of Yarra Ranges,Club,822436.79,755440.36,1577877.15,30
VALLEY INN HOTEL,Country,City of Greater Geelong,Hotel,1334204.49,1265850.81,2600055.3,29
VEGAS AT WAVERLEY GARDENS,Metro,City of Monash,Club,6130639.35,6149873.13,12280512.48,75
VENETO CLUB,Metro,City of Manningham,Club,2287222.64,2130779.68,4418002.32,90
VICTORIA HOTEL (SHEPPARTON),Country,City of Greater Shepparton,Hotel,3909064.79,3999075.64,7908140.43,40
VICTORIAN TAVERN,Country,Shire of Macedon Ranges,Hotel,2972029.13,2660754.24,5632783.37,50
VILLAGE BELLE HOTEL,Metro,City of Port Phillip,Hotel,1735170.15,1518337.3,3253507.45,31
VILLAGE GREEN HOTEL,Metro,City of Monash,Hotel,5955652.44,5792002.13,11747654.57,78
VINE HOTEL RICHMOND,Metro,City of Yarra,Hotel,1593854.01,1561087.65,3154941.66,26
WALTZING MATILDA HOTEL,Metro,City of Greater Dandenong,Hotel,8057199.79,7742991.21,15800191,71
WANGARATTA CLUB,Country,Rural City of Wangaratta,Club,775302.84,788204.18,1563507.02,25
WANGARATTA RSL,Country,Rural City of Wangaratta,Club,1325934.88,1211871.4,2537806.28,50
WANTIRNA CLUB,Metro,City of Knox,Club,2247990.08,2257831.89,4505821.970000001,97
WANTIRNA HILL CLUB,Metro,City of Knox,Club,2083164.13,2018152.92,4101317.05,60
WARRAGUL CLUB,Country,Shire of Baw Baw,Club,3467118.82,3663338.77,7130457.59,100
WARRAGUL COUNTRY CLUB,Country,Shire of Baw Baw,Club,3710862.2,3754123.94,7464986.140000001,80
WARRNAMBOOL BOWLS CLUB,Country,City of Warrnambool,Club,1739513.07,1954980.09,3694493.16,40
WARRNAMBOOL FOOTBALL CLUB SOCIAL CLUB,Country,City of Warrnambool,Club,1461376.69,1365541.31,2826918,40
WARRNAMBOOL RSL,Country,City of Warrnambool,Club,565648.97,625148.11,1190797.08,24
WATERGARDENS HOTEL,Metro,City of Brimbank,Hotel,9764329.04,9652401.15,19416730.189999998,76
WATERLOO CUP HOTEL,Metro,City of Moonee Valley,Hotel,6212197.46,6229125.45,12441322.91,70
WATSONIA RSL,Metro,City of Banyule,Club,4385114.08,3480789.5,7865903.58,103
WAURN PONDS HOTEL,Country,City of Greater Geelong,Hotel,4468232.47,4130725.09,8598957.559999999,81
WAVERLEY RSL CLUB,Metro,City of Monash,Club,3123813.39,2635110.9,5758924.29,67
WERRIBEE PLAZA TAVERN,Metro,City of Wyndham,Hotel,7994855.85,1015261.43,9010117.28,0
WERRIBEE RSL,Metro,City of Wyndham,Club,1378022.31,1361368.31,2739390.62,60
WEST HEIDELBERG RSL,Metro,City of Banyule,Club,754798.95,729608.62,1484407.5699999998,31
WEST SIDE HORSHAM,Country,Rural City of Horsham,Club,1017660.88,938006.13,1955667.01,34
WEST WATERS HOTEL,Metro,Shire of Melton,Hotel,9659622.39,10429750.62,20089373.009999998,90
WESTEND MARKET HOTEL,Metro,City of Brimbank,Hotel,8994477.91,8672646.6,17667124.509999998,78
WESTERNPORT HOTEL,Metro,Shire of Mornington Peninsula,Hotel,2485639.44,2416831.78,4902471.22,40
WESTMEADOWS TAVERN,Metro,City of Hume,Hotel,3226900.62,3100438.4,6327339.02,40
WESTSIDE TAVERNER,Metro,City of Wyndham,Hotel,5190206.66,4856179.59,10046386.25,70
WHALERS HOTEL,Country,City of Warrnambool,Hotel,1849122.25,1903035.23,3752157.48,34
WHEELERS HILL HOTEL,Metro,City of Monash,Hotel,2112602.66,2181089.78,4293692.4399999995,40
WHITTLESEA BOWLS CLUB,Metro,City of Whittlesea,Club,1968623.55,1993231.56,3961855.1100000003,50
WINDERMERE HOTEL,Country,City of Greater Bendigo,Hotel,3599711.81,3084127.73,6683839.54,40
WONTHAGGI CLUB,Country,Shire of Bass Coast,Club,3397686.3,3258620.18,6656306.48,68
WONTHAGGI GOLF CLUB,Country,Shire of Bass Coast,Club,222155.68,258587.53,480743.20999999996,15
WONTHAGGI WORKMEN'S CLUB,Country,Shire of Bass Coast,Club,2360170.28,2256770.77,4616941.05,55
YARRA VALLEY COUNTRY CLUB,Metro,City of Manningham,Club,0,0,0,0
YARRAVILLE CLUB,Metro,City of Maribyrnong,Club,3947250.23,3713830.13,7661080.359999999,103
YARRAVILLE CLUB CRICKET CLUB,Metro,City of Maribyrnong,Club,7039230.84,6880313.06,13919543.899999999,76
YARRAVILLE-FOOTSCRAY BOWLING CLUB,Metro,City of Maribyrnong,Club,1029975.88,866808.75,1896784.63,29
YORK ON LILYDALE TAVERNER RESORT,Metro,Shire of Yarra Ranges,Hotel,2947272.32,2746147.37,5693419.6899999995,70
ZAGAME'S CAULFIELD CLUB HOTEL,Metro,City of Glen Eira,Hotel,5483337.7,5590790.61,11074128.31,100
,,,,1546251301.4199996,1483774922.6200008,3030026224.04,26194
,,,,,,,
,,,,,,,
Published: 26 July 2024,,,,,,,
