LGA Name,LGA,Region,TOTAL Net Expenditure ($),SEIFA DIS Score, SEIFADIS Rank State,SEIFA DIS RANK COUNTRY,SEIFA DIS RANK METRO,SEIFA ADVDIS Score,SEIFA ADVDIS Rank State,SEIFA ADVDIS RANK COUNTRY,SEIFA ADVDIS RANK METRO,Adult Population 2022,Adults per Venue 2022,"EGMs per 1,000 Adults 2022",EXP per Adult 2022,Unemployed Workforce as at June 2022,as at June 2022,Unemployment rate as at June 2022
City of Whittlesea,M26,Metro,137846028.25,989.6036133,31,0,5,980.8227931,41,0,5,193914.17499444837,19391.417499444837,3.5582752009735965,710.8610201082331,127420,5385,0.042261811332600846
Shire of Nillumbik,M16,Metro,9600842.33,1092.873619,80,0,31,1088.097268,74,0,25,50900.776432809624,25450.388216404812,1.7681459165716733,188.618779571533,39504,491,0.012429121101660591
RURAL CITY OF ARARAT,C43,Country,6245500.420000001,955.2148339,15,12,0,931.8990008,18,16,0,9899.68509241402,4949.84254620701,8.889171643190254,630.8786958067822,6239,269,0.043115883955762144
Shire of Northern Grampians,C14,Country,4848169.46,951.3008393,12,9,0,920.6550335,6,5,0,9108.236756444312,4554.118378222156,8.783258729347143,532.2840841362403,6540,258,0.03944954128440367
Borough of Queenscliffe,C1,Country,1464203.2,1082.243248,75,47,0,1067.199476,69,47,0,2600.7975131581625,2600.7975131581625,11.534923364168723,562.9823900523536,1727,23,0.013317892298784018
City of Greater Geelong,C21,Country,134132429.85,1007.331026,46,38,0,989.5729385,49,42,0,222141.30136576225,8885.65205463049,6.023193308825284,603.8158101412531,153557,4916,0.03201417063370605
SHIRE OF CORANGAMITE,C3,Country,3131439.24,984.5903646,26,23,0,954.628077,26,23,0,12452.089337853125,6226.044668926563,4.5775450571757155,251.47902131417683,8927,157,0.017587095328777867
Shire of Colac-Otway,C18,Country,7891465.21,972.58665,21,18,0,938.0508911,19,17,0,17283.259946971746,3456.651989394349,6.306680587715064,456.5958756746402,12514,242,0.019338341058015022
SHIRE OF HEPBURN,C26,Country,3471730.59,1006.251286,45,37,0,983.9111418,43,37,0,13500.437036069756,6750.218518034878,4.222085540468831,257.1569039375846,8085,148,0.018305504019789733
Shire of Moorabool,C22,Country,11037347.540000001,1017.233908,51,40,0,987.1572238,46,39,0,29448.026335430484,9816.008778476828,3.7353946491026178,374.8077176472904,21668,766,0.035351670666420525
SHIRE OF CENTRAL GOLDFIELDS,C31,Country,8535391.56,897.5571127,2,1,0,867.2320061,1,1,0,11050.770148685237,5525.385074342618,8.958651629522718,772.379793006146,5322,300,0.05636978579481398
SHIRE OF MOUNT ALEXANDER,C47,Country,3053609.4499999997,1007.453034,47,39,0,986.7803982,45,38,0,16741.377129546927,16741.377129546927,1.7919672777129472,182.3989404438343,10629,274,0.025778530435600716
SHIRE OF MANSFIELD,C49,Country,1745873.8800000001,1027.619655,57,42,0,988.5583631,47,40,0,7551.06089287284,7551.06089287284,5.297268896050684,231.20908502378313,5556,89,0.016018718502519798
SHIRE OF MURRINDINDI,C41,Country,1774883.9,1004.689869,43,36,0,970.812613,37,34,0,12513.6429289265,12513.6429289265,1.997819511232023,141.83590742366346,8297,230,0.027720862962516572
Shire of Mitchell,C13,Country,20751700.439999998,999.547638,38,32,0,968.230862,35,32,0,40877.52002811927,10219.380007029817,5.4797844841348615,507.65556290413645,27892,975,0.03495625985945791
SHIRE OF TOWONG,C34,Country,307634.83,1000.769071,39,33,0,968.3370011,36,33,0,5009.760733388588,5009.760733388588,1.996103313548076,61.40709035257991,3408,95,0.027875586854460094
Shire of Alpine,C2,Country,2774411.51,1027.612702,56,41,0,988.9270847,48,41,0,10507.680604730183,5253.840302365092,5.519771887041415,264.03652855141587,7336,138,0.0188113413304253
SHIRE OF MOIRA,C17,Country,5628762.52,958.2606536,16,13,0,926.7433001,11,10,0,24363.58293278994,12181.79146639497,4.227621211713346,231.03180412863168,14982,219,0.01461754104925911
SHIRE OF STRATHBOGIE,C42,Country,2043679.7699999998,981.9917555,25,22,0,954.1825635,25,22,0,9124.60774228,9124.60774228,3.507000070997467,223.9745343276902,6064,171,0.028199208443271766
Rural City of Benalla,C48,Country,6844034.100000001,968.4478935,20,17,0,938.3979906,20,18,0,11654.567794416695,3884.8559314722315,9.009343104967128,587.2404897999515,7494,281,0.03749666399786496
SHIRE OF GANNAWARRA,C38,Country,2317948.19,952.4122494,14,11,0,919.3824473,4,3,0,8367.474215415385,8367.474215415385,5.377966975637232,277.01886260129106,5754,202,0.03510601320820299
Shire of Campaspe,C10,Country,10715080.17,964.8686286,19,16,0,931.7649788,17,15,0,30138.409368713288,7534.602342178322,6.934672545026982,355.52905393618204,20081,346,0.01723021761864449
Shire of Glenelg,C25,Country,8641654.540000001,952.299167,13,10,0,919.422361,5,4,0,15848.136878221956,3962.034219555489,7.571867969218545,545.2788934373168,10840,335,0.030904059040590407
SHIRE OF SOUTHERN GRAMPIANS,C37,Country,6989210.570000001,993.7303903,35,30,0,961.5382901,32,29,0,12686.85312794186,6343.42656397093,5.911631453730478,550.9018272314337,9112,217,0.02381474978050922
Shire of Wellington,C12,Country,25934121.440000005,972.9694388,22,19,0,942.6792544,21,19,0,35774.08296421477,5110.583280602111,8.889116747397804,724.9416139036242,23946,870,0.0363317464294663
Rural City of Wodonga,C15,Country,10728931.739999998,973.0740152,23,20,0,947.0115984,23,21,0,35195.76426695122,11731.921422317073,4.261876482132533,304.8358790740752,24772,844,0.03407072501211045
City of Warrnambool,C16,Country,23206800.96,994.9477931,37,31,0,961.073322,31,28,0,28261.820364176885,3532.7275455221106,8.279721439904325,821.1361002568558,20494,410,0.02000585537230409
City of Greater Bendigo,C19,Country,59081305.95,984.9620533,27,24,0,959.0622591,29,26,0,97112.0521651457,8828.36837864961,6.816867579672023,608.3828385124453,69746,2313,0.03316319215438878
City of Ballarat,C20,Country,64360765.839999996,985.7093504,29,25,0,964.8076543,33,30,0,91207.9088390868,6514.8506313633425,7.1375389293106615,705.648958069505,57386,1491,0.025981946816296658
Rural City of Swan Hill,C23,Country,10168792.5,940.6167909,7,5,0,927.0698076,12,11,0,16139.373634178724,4034.843408544681,9.85168344224227,630.0611616342603,12252,392,0.031994776363042765
City of Greater Shepparton,C24,Country,42728660.05000001,944.0409053,9,6,0,931.1302985,16,14,0,52963.66951550302,6620.458689437877,6.211805243284707,806.7541475292396,35593,863,0.024246340572584495
Rural City of Mildura,C27,Country,38482548.470000006,940.0018025,5,3,0,922.2651057,7,6,0,44671.69844050465,5583.962305063082,6.290336159352565,861.4525485582874,32302,1475,0.04566280725651663
Shire of East Gippsland,C28,Country,30590741.449999996,963.3117284,18,15,0,930.853683,15,13,0,39716.66880419194,3971.666880419194,8.33403228331839,770.2242501962113,23391,1086,0.04642811337693985
Shire of Bass Coast,C29,Country,19745740.01,992.8285467,34,29,0,957.4960869,28,25,0,31528.347620762717,6305.669524152543,6.755825029654606,626.2852797587342,19690,690,0.03504316912138141
City of Latrobe,C30,Country,49944157.129999995,930.8178602,4,2,0,907.0987768,2,2,0,60995.71087508298,4691.977759621767,8.557978790820837,818.814247976941,40699,2233,0.054866212929064594
Shire of Surf Coast,C33,Country,4124204.849999999,1086.196967,77,48,0,1075.791801,72,48,0,28138.108076516495,9379.369358838832,3.162970294874858,146.57008348908784,22533,265,0.011760529001908313
Shire of South Gippsland,C4,Country,7104088.599999999,1002.588744,40,34,0,965.9906565,34,31,0,24210.597128500587,6052.649282125147,4.336943836729849,293.4288882795502,16087,408,0.0253620936159632
Shire of Macedon Ranges,C45,Country,9089731.04,1062.808882,73,46,0,1047.396791,63,46,0,40744.764381554574,13581.588127184858,2.5279321543120465,223.08954728217745,30073,442,0.014697569248162803
Rural City of Horsham,C5,Country,11664955.06,990.0981008,32,27,0,959.111719,30,27,0,15569.42647817117,5189.808826057057,9.826951571691536,749.2218853632559,12122,365,0.030110542814717044
Shire of Baw Baw,C6,Country,19841779.189999998,1003.321525,42,35,0,971.1326956,38,35,0,44653.44304783859,11163.360761959648,5.329936142774553,444.35048757030665,31049,759,0.024445231730490517
Rural City of Wangaratta,C9,Country,10874190.79,988.3513064,30,26,0,956.582454,27,24,0,23675.861333863242,5918.9653334658105,6.504515203412517,459.2944111582036,16483,473,0.028696232481951103
City of Melbourne,M1,Metro,86325377.17,1016.684788,50,0,10,1085.522115,73,0,24,197622.37345975393,21958.041495528214,3.5168082835597443,436.8198582919068,92359,3499,0.037884775712166655
City of Moreland,M10,Metro,62063452.720000006,1026.530542,55,0,14,1049.419536,65,0,18,161970.84390757646,13497.570325631372,3.945154477089871,383.17669540213393,101062,3733,0.03693772139874532
City of Darebin,M11,Metro,85837107.13000001,1018.342368,52,0,11,1044.196002,61,0,15,142018.6121116731,11834.884342639425,5.238749970426217,604.4074495144619,87167,3453,0.03961361524430117
City of Boroondara,M12,Metro,18797009.46,1089.616442,78,0,29,1130.726944,80,0,31,150840.60468255213,37710.15117063803,1.0739813748488551,124.61504977097368,97821,2494,0.02549554799071774
City of Whitehorse,M13,Metro,56114551.28,1042.697471,67,0,21,1067.255885,70,0,22,150410.1592984132,25068.359883068868,2.86549792919837,373.076868888018,93049,3556,0.03821642360476738
City of Manningham,M14,Metro,60358350.8,1056.081109,70,0,24,1075.160902,71,0,23,107232.86774125122,17872.14462354187,4.289729536189989,562.871739527123,65738,2386,0.036295597675621405
City of Banyule,M15,Metro,57169938.57,1057.684713,71,0,25,1064.256909,67,0,20,105777.05236889728,11753.005818766364,5.993738583194077,540.4758148357164,73033,1726,0.023633152136705325
City of Maroondah,M17,Metro,62283768.150000006,1041.026734,63,0,17,1034.655377,60,0,14,96569.48381946055,12071.18547743257,6.627352396296313,644.963250155104,66668,2153,0.03229435411291774
City of Knox,M18,Metro,78302496.92999999,1042.169006,65,0,19,1028.669427,58,0,12,133567.72323730608,12142.520294300553,5.742405286322746,586.238164671581,93162,2926,0.031407655481848824
City of Monash,M19,Metro,122500822.52,1042.308433,66,0,20,1066.962401,68,0,21,173445.91441325552,11563.060960883702,5.506039177864973,706.2767833673338,103512,2345,0.02265437823633975
City of Port Phillip,M2,Metro,28494636.089999996,1061.015673,72,0,26,1105.734658,76,0,27,108008.47667037076,10800.847667037076,3.490466782070818,263.81851654997683,68393,2141,0.03130437325457284
City of Kingston,M20,Metro,86005189.18999998,1044.259648,68,0,22,1048.233929,64,0,17,136568.5421460393,8535.533884127457,6.721899388940819,629.7584190217868,92063,3423,0.03718106079532494
City of Greater Dandenong,M21,Metro,137397858.69,886.6579124,1,0,1,917.860836,3,0,1,141194.66776999214,10085.333412142296,6.572486161529296,973.1094017928694,80905,5233,0.06468079846733824
City of Frankston,M22,Metro,67668174.45,1003.136321,41,0,7,982.1058149,42,0,6,115545.06186415222,12838.340207128023,4.491754053584694,585.6431539199687,78277,2709,0.034607866934093026
City of Casey,M23,Metro,159240363.24999997,994.6710391,36,0,6,986.3415394,44,0,7,292746.22219813545,22518.940169087342,3.1187422100431634,543.9536061449957,206940,9315,0.045013047260075385
Shire of Cardinia,M24,Metro,35041656.68000001,1020.955982,54,0,13,992.8915294,50,0,8,95404.03572539703,15900.672620899504,4.245103437402984,367.2974252458352,68879,2595,0.03767476299017117
Shire of Yarra Ranges,M25,Metro,30291015.589999996,1041.249719,64,0,18,1014.133403,55,0,10,126931.66017812066,14103.517797568962,3.5609713082277303,238.6403482590019,90341,3035,0.033594934747235475
City of Hume,M27,Metro,139030851.80999997,940.8164076,8,0,3,948.5714471,24,0,3,194945.5409674525,13924.68149767518,4.272988219510366,713.1779014797374,130779,7951,0.06079722279570879
City of Brimbank,M28,Metro,172895893.57000002,912.4696637,3,0,2,928.4203582,13,0,2,169844.00255210485,11322.933503473656,5.611031214997645,1017.9687888417426,112176,7123,0.06349843103694194
Shire of Melton,M29,Metro,86742697.91999999,985.1878685,28,0,4,973.9039808,40,0,4,141898.2495298461,20271.178504263728,3.68573961788017,611.3020999723819,100495,5988,0.05958505398278521
City of Hobsons Bay,M3,Metro,47950388.97,1020.66275,53,0,12,1034.269139,59,0,13,79386.44501163319,8820.716112403687,6.739185763030474,604.0122965951355,57966,1876,0.03236379946865404
City of Wyndham,M30,Metro,124903632.06000002,1005.516265,44,0,8,1004.37918,54,0,9,228217.6230988992,17555.2017768384,3.956749648596071,547.3005562145936,176982,8289,0.04683527138353053
Shire of Mornington Peninsula,M31,Metro,90344068.26,1037.538438,60,0,15,1016.208911,56,0,11,139818.39704911932,8224.611591124665,5.900511073018317,646.1529395753365,86160,1957,0.02271355617455896
City of Yarra,M4,Metro,30411152.369999997,1045.741429,69,0,23,1107.861254,77,0,28,94890.79467462335,13555.82781066048,3.0350678481252076,320.4858013285545,61718,2096,0.03396091901876276
City of Maribyrnong,M5,Metro,66119496.54,1009.717021,48,0,9,1044.594148,62,0,16,87590.6811851397,9732.297909459967,5.343034140935521,754.8690756296753,59423,2833,0.04767514262154385
City of Stonnington,M6,Metro,20327117.51,1084.476004,76,0,28,1129.989129,79,0,30,106991.77307763325,21398.35461552665,1.8599560907884531,189.9876684467192,67138,1417,0.02110578212040871
City of Glen Eira,M7,Metro,70499276.13,1074.592644,74,0,27,1102.847404,75,0,26,127530.07016865336,14170.00779651704,5.112519730740808,552.8051230330819,87610,2937,0.033523570368679374
City of Bayside,M8,Metro,13886353.15,1090.406575,79,0,30,1127.126354,78,0,29,87047.81264420273,17409.562528840546,2.3435396456637574,159.52558402310197,57166,1262,0.02207605919602561
City of Moonee Valley,M9,Metro,85197625.77,1040.715483,62,0,16,1059.755144,66,0,19,111429.09329546527,10129.917572315024,6.694840440116543,764.5904965240097,70834,2041,0.02881384645791569
Shire of Buloke,C7,Country,0,975.0490374,24,21,0,946.0568513,22,20,0,4804.187867851149,0,0,0,3314,123,0.03711526855763428
Shire of Golden Plains,C32,Country,0,1039.942689,61,45,0,996.946464,52,44,0,19098.29271813247,0,0,0,14035,249,0.017741360883505523
Shire of Hindmarsh,C8,Country,0,940.1013668,6,4,0,922.8301517,8,7,0,4406.955350206541,0,0,0,3081,120,0.03894839337877313
Shire of Indigo,C35,Country,0,1029.417236,59,44,0,996.2871485,51,43,0,13559.0177913935,0,0,0,9844,178,0.018082080455099552
Shire of Loddon,C46,Country,0,948.1040223,11,8,0,924.8063462,10,9,0,6123.189845331213,0,0,0,3919,209,0.05332993110487369
Shire of Moyne,C36,Country,0,1028.978572,58,43,0,998.4238392,53,45,0,13431.767073757957,0,0,0,10047,143,0.0142331044092764
Shire of Pyrenees,C44,Country,0,958.6908796,17,14,0,929.2570974,14,12,0,6134.242109886271,0,0,0,3301,109,0.033020296879733416
Shire of West Wimmera,C39,Country,0,991.0072971,33,28,0,971.1690792,39,36,0,2884.8749404227983,0,0,0,2275,62,0.027252747252747254
Shire of Yarriambiack,C40,Country,0,945.9260556,10,7,0,923.0242366,9,8,0,5124.934053745536,0,0,0,3364,153,0.04548156956004756
,,,,,,,,,,,,,,,,,,
Metro,,,2329647193.31,,,,,,,,,4250259.736274377,14073.707736007873,4.363968592719113,548.1187828186904,2794740,108368,0.038775700065122334
Country,,,692017676.01,,,,,,,,,1318996.0375971247,7207.628620749315,5.86506689898252,524.6548558786274,903822,27376,0.030289149854728033
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Victoria,,,3021664869.3200006,79143.2806228,3191,1176,496,78239.7129379,3183,1176,496,5569255.773871501,11483.001595611342,4.719481572980176,542.5616980093323,3698562,135744,0.036701831684854816
,,,,,,,,,,,,,,,,,,
Published: 24 November 2023,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Pls note that in 2014, the ABS updated the boundaries on which its regional labour force estimates are based to align them with those used in the most recent Census",,,,,,,,,,,,,,,,,,
Pls note that Porpulation Projection data is based on Victoria In Future 2019 forecast. This will be updated once the latest edition is available.,,,,,,,,,,,,,,,,,,
